test model relativeRisk haplotypeLength recFrac Holdout_mTDT2G_useDistances_01 Holdout_mTDT2G_useDistances_05 Holdout_mTDT2G_useDistances_001 Holdout_mTDT2G_useDistances_005 Holdout_ScoreTDT_01 Holdout_ScoreTDT_05 Holdout_ScoreTDT_001 Holdout_ScoreTDT_005 Holdout_mTDT_01 Holdout_mTDT_05 Holdout_mTDT_001 Holdout_mTDT_005 
PowerTwoLoci DomOrDom 2.4 1 0.0000500 0.13 0.26 0.08 0.1 0.13 0.26 0.08 0.1 0.13 0.26 0.08 0.1
PowerTwoLoci DomOrDom 2.4 1 0.0001000 0.01 0.08 0 0.01 0.01 0.08 0 0.01 0.01 0.08 0 0.01
PowerTwoLoci DomOrDom 2.4 1 0.0001500 0.05 0.11 0.01 0.03 0.05 0.11 0.01 0.03 0.05 0.11 0.01 0.03
PowerTwoLoci DomOrDom 2.4 1 0.0002000 0.08 0.13 0.03 0.04 0.08 0.13 0.03 0.04 0.08 0.13 0.03 0.04
PowerTwoLoci DomOrDom 2.6 1 0.0000000 0.27 0.3 0.24 0.26 0.27 0.3 0.24 0.26 0.27 0.3 0.24 0.26
PowerTwoLoci DomOrDom 2.6 1 0.0000500 0.17 0.25 0.08 0.13 0.17 0.26 0.08 0.13 0.17 0.26 0.08 0.13
PowerTwoLoci DomOrDom 2.6 1 0.0001000 0.02 0.06 0 0.01 0.02 0.06 0 0.01 0.02 0.06 0 0.01
PowerTwoLoci DomOrDom 2.6 1 0.0001500 0.05 0.17 0.02 0.03 0.05 0.18 0.02 0.03 0.05 0.18 0.02 0.03
PowerTwoLoci DomOrDom 2.6 1 0.0002000 0.05 0.14 0.04 0.05 0.05 0.14 0.04 0.05 0.05 0.14 0.04 0.05
PowerTwoLoci DomAndDom 1.2 1 0.0000000 0.19 0.25 0.13 0.14 0.19 0.25 0.13 0.14 0.19 0.25 0.13 0.14
PowerTwoLoci DomAndDom 1.2 1 0.0000500 0.08 0.15 0.02 0.05 0.08 0.15 0.02 0.05 0.08 0.15 0.02 0.05
PowerTwoLoci DomAndDom 1.2 1 0.0001000 0.02 0.09 0.01 0.01 0.02 0.09 0.01 0.01 0.02 0.09 0.01 0.01
PowerTwoLoci DomAndDom 1.2 1 0.0001500 0.02 0.08 0.01 0.01 0.02 0.09 0.01 0.01 0.02 0.09 0.01 0.01
PowerTwoLoci DomAndDom 1.2 1 0.0002000 0.07 0.12 0.04 0.06 0.07 0.12 0.04 0.06 0.07 0.12 0.04 0.06
