test model relativeRisk haplotypeLength recFrac Holdout_mTDT2G_useDistances_01 Holdout_mTDT2G_useDistances_05 Holdout_mTDT2G_useDistances_001 Holdout_mTDT2G_useDistances_005 Holdout_ScoreTDT_01 Holdout_ScoreTDT_05 Holdout_ScoreTDT_001 Holdout_ScoreTDT_005 Holdout_mTDT_01 Holdout_mTDT_05 Holdout_mTDT_001 Holdout_mTDT_005 
PowerTwoLoci Additive 2.4 2 0.0001000 0.04 0.13 0.01 0.01 0.04 0.14 0.02 0.02 0.06 0.15 0.01 0.04
PowerTwoLoci Additive 2.4 2 0.0001500 0.03 0.1 0.03 0.03 0.06 0.16 0 0.06 0.06 0.15 0.02 0.05
PowerTwoLoci Additive 2.4 2 0.0002000 0.05 0.14 0.03 0.04 0.05 0.15 0.04 0.04 0.05 0.14 0.04 0.05
PowerTwoLoci Additive 2.6 2 0.0000000 0.34 0.46 0.28 0.31 0.34 0.43 0.25 0.32 0.37 0.46 0.3 0.34
PowerTwoLoci Additive 2.6 2 0.0000500 0.22 0.32 0.17 0.2 0.22 0.34 0.13 0.19 0.25 0.35 0.15 0.21
PowerTwoLoci Additive 2.6 2 0.0001000 0.08 0.14 0.02 0.03 0.03 0.15 0.02 0.03 0.08 0.14 0.01 0.02
PowerTwoLoci Additive 2.6 2 0.0001500 0.04 0.11 0 0.04 0.04 0.14 0 0.04 0.04 0.16 0.01 0.03
PowerTwoLoci Additive 2.6 2 0.0002000 0.06 0.14 0.03 0.06 0.05 0.14 0.02 0.05 0.06 0.11 0.04 0.05
PowerTwoLoci DomOrDom 1.2 2 0.0000000 0.25 0.35 0.16 0.21 0.23 0.33 0.15 0.21 0.25 0.36 0.16 0.22
PowerTwoLoci DomOrDom 1.2 2 0.0000500 0.12 0.25 0.04 0.09 0.09 0.17 0.04 0.05 0.09 0.22 0.05 0.06
PowerTwoLoci DomOrDom 1.2 2 0.0001000 0.04 0.1 0.02 0.03 0.02 0.1 0.01 0.02 0.06 0.11 0.01 0.03
PowerTwoLoci DomOrDom 1.2 2 0.0001500 0.02 0.11 0.01 0.02 0.04 0.12 0 0.02 0.03 0.11 0 0.03
PowerTwoLoci DomOrDom 1.2 2 0.0002000 0.07 0.13 0.03 0.06 0.08 0.16 0.03 0.05 0.08 0.16 0.04 0.07
PowerTwoLoci DomOrDom 1.6 2 0.0000000 0.32 0.45 0.19 0.25 0.29 0.44 0.15 0.23 0.33 0.47 0.18 0.25
PowerTwoLoci DomOrDom 1.6 2 0.0000500 0.14 0.26 0.09 0.12 0.12 0.21 0.1 0.11 0.13 0.25 0.11 0.11
PowerTwoLoci DomOrDom 1.6 2 0.0001000 0.03 0.14 0.01 0.01 0.04 0.13 0.02 0.03 0.05 0.12 0 0.02
PowerTwoLoci DomOrDom 1.6 2 0.0001500 0.05 0.08 0 0.01 0.09 0.14 0 0.06 0.07 0.14 0.02 0.05
PowerTwoLoci DomOrDom 1.6 2 0.0002000 0.06 0.13 0.02 0.05 0.06 0.14 0.02 0.03 0.07 0.13 0.02 0.05
PowerTwoLoci DomOrDom 2.0 2 0.0000000 0.37 0.46 0.22 0.33 0.33 0.44 0.18 0.27 0.34 0.48 0.21 0.29
PowerTwoLoci DomOrDom 2.0 2 0.0000500 0.22 0.34 0.12 0.2 0.21 0.32 0.09 0.17 0.25 0.34 0.14 0.23
PowerTwoLoci DomOrDom 2.0 2 0.0001000 0.06 0.12 0.01 0.04 0.07 0.12 0.01 0.05 0.06 0.13 0.02 0.05
PowerTwoLoci DomOrDom 2.0 2 0.0001500 0.04 0.15 0.01 0.03 0.04 0.11 0.01 0.03 0.03 0.12 0.01 0.02
PowerTwoLoci DomOrDom 2.0 2 0.0002000 0.07 0.13 0.03 0.06 0.06 0.14 0.03 0.05 0.06 0.16 0.04 0.05
PowerTwoLoci DomOrDom 2.4 2 0.0000000 0.36 0.46 0.25 0.33 0.35 0.47 0.25 0.31 0.35 0.49 0.28 0.35
PowerTwoLoci DomOrDom 2.4 2 0.0000500 0.24 0.34 0.14 0.18 0.19 0.32 0.11 0.15 0.22 0.33 0.14 0.2
PowerTwoLoci DomOrDom 2.4 2 0.0001000 0.05 0.15 0.02 0.04 0.04 0.09 0.04 0.04 0.07 0.15 0.02 0.04
PowerTwoLoci DomOrDom 2.4 2 0.0001500 0.04 0.13 0.01 0.02 0.07 0.14 0.01 0.03 0.07 0.14 0.01 0.03
PowerTwoLoci DomOrDom 2.4 2 0.0002000 0.06 0.12 0.03 0.04 0.05 0.1 0.03 0.03 0.06 0.11 0.03 0.04
PowerTwoLoci DomOrDom 2.6 2 0.0000000 0.37 0.45 0.3 0.36 0.36 0.42 0.28 0.33 0.36 0.44 0.3 0.35
PowerTwoLoci DomOrDom 2.6 2 0.0000500 0.22 0.32 0.13 0.19 0.19 0.36 0.11 0.17 0.23 0.39 0.16 0.2
PowerTwoLoci DomOrDom 2.6 2 0.0001000 0.06 0.09 0.01 0.04 0.07 0.14 0.02 0.04 0.05 0.14 0.03 0.04
PowerTwoLoci DomOrDom 2.6 2 0.0001500 0.05 0.11 0.02 0.03 0.05 0.13 0.01 0.04 0.06 0.15 0.02 0.04
PowerTwoLoci DomOrDom 2.6 2 0.0002000 0.05 0.18 0.04 0.05 0.06 0.14 0.03 0.05 0.05 0.18 0.03 0.05
PowerTwoLoci DomAndDom 1.2 2 0.0000000 0.25 0.35 0.16 0.21 0.23 0.33 0.15 0.21 0.25 0.36 0.16 0.22
PowerTwoLoci DomAndDom 1.2 2 0.0000500 0.13 0.25 0.04 0.1 0.08 0.17 0.04 0.05 0.08 0.22 0.05 0.05
PowerTwoLoci DomAndDom 1.2 2 0.0001000 0.04 0.1 0.02 0.03 0.02 0.1 0.01 0.02 0.06 0.11 0.01 0.03
PowerTwoLoci DomAndDom 1.2 2 0.0001500 0.02 0.11 0.01 0.02 0.04 0.12 0 0.02 0.03 0.11 0 0.03
PowerTwoLoci DomAndDom 1.2 2 0.0002000 0.07 0.13 0.03 0.06 0.08 0.16 0.03 0.05 0.08 0.16 0.04 0.07
PowerTwoLoci DomAndDom 1.6 2 0.0000000 0.32 0.45 0.19 0.25 0.29 0.44 0.15 0.23 0.33 0.47 0.18 0.25
PowerTwoLoci DomAndDom 1.6 2 0.0000500 0.14 0.26 0.09 0.12 0.12 0.21 0.1 0.11 0.13 0.25 0.11 0.11
PowerTwoLoci DomAndDom 1.6 2 0.0001000 0.04 0.14 0.01 0.01 0.04 0.12 0.02 0.03 0.05 0.12 0.01 0.02
PowerTwoLoci DomAndDom 1.6 2 0.0001500 0.04 0.08 0 0.01 0.08 0.14 0 0.06 0.06 0.14 0.02 0.05
PowerTwoLoci DomAndDom 1.6 2 0.0002000 0.06 0.13 0.02 0.05 0.06 0.14 0.02 0.03 0.07 0.13 0.02 0.05
PowerTwoLoci DomAndDom 2.0 2 0.0000000 0.37 0.46 0.22 0.33 0.33 0.44 0.18 0.27 0.34 0.48 0.21 0.29
PowerTwoLoci DomAndDom 2.0 2 0.0000500 0.22 0.34 0.12 0.2 0.21 0.32 0.09 0.17 0.25 0.35 0.14 0.23
PowerTwoLoci DomAndDom 2.0 2 0.0001000 0.06 0.12 0.01 0.03 0.07 0.11 0.01 0.06 0.06 0.13 0.02 0.05
PowerTwoLoci DomAndDom 2.0 2 0.0001500 0.04 0.14 0.01 0.03 0.04 0.11 0.01 0.03 0.03 0.12 0.01 0.02
PowerTwoLoci DomAndDom 2.0 2 0.0002000 0.07 0.13 0.04 0.06 0.06 0.14 0.03 0.06 0.06 0.16 0.04 0.06
PowerTwoLoci DomAndDom 2.4 2 0.0000000 0.36 0.46 0.25 0.33 0.35 0.47 0.25 0.31 0.35 0.49 0.28 0.35
PowerTwoLoci DomAndDom 2.4 2 0.0000500 0.24 0.34 0.14 0.18 0.19 0.32 0.11 0.15 0.22 0.33 0.14 0.2
PowerTwoLoci DomAndDom 2.4 2 0.0001000 0.05 0.15 0.01 0.03 0.04 0.1 0.03 0.04 0.07 0.15 0.01 0.04
PowerTwoLoci DomAndDom 2.4 2 0.0001500 0.03 0.14 0.01 0.02 0.05 0.15 0.01 0.02 0.05 0.14 0 0.02
PowerTwoLoci DomAndDom 2.4 2 0.0002000 0.06 0.11 0.03 0.04 0.04 0.11 0.03 0.03 0.05 0.1 0.03 0.04
PowerTwoLoci DomAndDom 2.6 2 0.0000000 0.37 0.45 0.3 0.36 0.36 0.42 0.28 0.33 0.36 0.44 0.3 0.35
PowerTwoLoci DomAndDom 2.6 2 0.0000500 0.22 0.32 0.13 0.19 0.19 0.36 0.11 0.17 0.23 0.39 0.16 0.2
PowerTwoLoci DomAndDom 2.6 2 0.0001000 0.06 0.09 0.01 0.03 0.06 0.14 0.03 0.03 0.05 0.14 0.03 0.03
PowerTwoLoci DomAndDom 2.6 2 0.0001500 0.05 0.11 0.02 0.03 0.05 0.15 0.01 0.04 0.07 0.15 0.02 0.04
PowerTwoLoci DomAndDom 2.6 2 0.0002000 0.06 0.19 0.04 0.06 0.07 0.14 0.04 0.05 0.06 0.18 0.04 0.05
PowerTwoLoci RecOrRec 1.2 2 0.0000000 0.22 0.33 0.16 0.2 0.22 0.29 0.14 0.2 0.25 0.33 0.16 0.22
PowerTwoLoci RecOrRec 1.2 2 0.0000500 0.08 0.18 0.04 0.06 0.06 0.15 0.04 0.06 0.07 0.22 0.04 0.05
PowerTwoLoci RecOrRec 1.2 2 0.0001000 0.02 0.09 0 0 0.04 0.11 0.02 0.02 0.04 0.12 0.02 0.03
PowerTwoLoci RecOrRec 1.2 2 0.0001500 0.02 0.1 0.01 0.01 0.02 0.08 0 0.01 0.02 0.09 0 0.01
PowerTwoLoci RecOrRec 1.2 2 0.0002000 0.06 0.16 0.03 0.05 0.09 0.14 0.05 0.05 0.08 0.17 0.04 0.08
PowerTwoLoci RecOrRec 1.6 2 0.0000000 0.26 0.36 0.14 0.23 0.24 0.4 0.15 0.19 0.3 0.42 0.16 0.24
PowerTwoLoci RecOrRec 1.6 2 0.0000500 0.1 0.19 0.06 0.08 0.11 0.16 0.04 0.11 0.11 0.2 0.06 0.1
PowerTwoLoci RecOrRec 1.6 2 0.0001000 0.04 0.1 0.01 0.02 0.03 0.07 0.02 0.03 0.04 0.09 0.02 0.03
PowerTwoLoci RecOrRec 1.6 2 0.0001500 0.02 0.1 0.02 0.02 0.03 0.1 0 0.02 0.03 0.11 0.01 0.02
PowerTwoLoci RecOrRec 1.6 2 0.0002000 0.06 0.15 0.04 0.05 0.06 0.11 0.03 0.06 0.06 0.14 0.03 0.05
PowerTwoLoci RecOrRec 2.0 2 0.0000000 0.3 0.47 0.19 0.27 0.29 0.43 0.19 0.25 0.31 0.48 0.19 0.26
PowerTwoLoci RecOrRec 2.0 2 0.0000500 0.14 0.26 0.11 0.13 0.13 0.19 0.1 0.12 0.15 0.22 0.12 0.15
PowerTwoLoci RecOrRec 2.0 2 0.0001000 0.03 0.13 0 0.01 0.04 0.13 0.01 0.01 0.03 0.14 0.01 0.02
PowerTwoLoci RecOrRec 2.0 2 0.0001500 0.03 0.11 0.01 0.03 0.05 0.09 0 0.02 0.07 0.09 0.01 0.04
PowerTwoLoci RecOrRec 2.0 2 0.0002000 0.06 0.14 0.04 0.05 0.08 0.14 0.04 0.06 0.08 0.15 0.04 0.06
PowerTwoLoci RecOrRec 2.4 2 0.0000000 0.3 0.43 0.2 0.25 0.3 0.41 0.19 0.25 0.32 0.42 0.21 0.3
PowerTwoLoci RecOrRec 2.4 2 0.0000500 0.19 0.28 0.1 0.17 0.16 0.27 0.07 0.13 0.2 0.3 0.11 0.18
PowerTwoLoci RecOrRec 2.4 2 0.0001000 0.04 0.14 0 0 0.05 0.11 0.02 0.03 0.04 0.16 0.02 0.04
PowerTwoLoci RecOrRec 2.4 2 0.0001500 0.03 0.08 0.01 0.01 0.04 0.08 0.01 0.03 0.03 0.09 0.01 0.02
PowerTwoLoci RecOrRec 2.4 2 0.0002000 0.05 0.14 0.03 0.05 0.06 0.1 0.03 0.04 0.04 0.16 0.03 0.04
PowerTwoLoci RecOrRec 2.6 2 0.0000000 0.36 0.46 0.18 0.3 0.32 0.41 0.19 0.25 0.35 0.45 0.22 0.32
PowerTwoLoci RecOrRec 2.6 2 0.0000500 0.21 0.27 0.11 0.19 0.17 0.27 0.09 0.15 0.23 0.27 0.13 0.19
PowerTwoLoci RecOrRec 2.6 2 0.0001000 0.05 0.15 0.01 0.04 0.05 0.15 0.02 0.02 0.07 0.16 0.02 0.06
PowerTwoLoci RecOrRec 2.6 2 0.0001500 0.04 0.12 0.01 0.02 0.02 0.13 0.01 0.02 0.03 0.11 0.01 0.02
PowerTwoLoci RecOrRec 2.6 2 0.0002000 0.07 0.13 0.03 0.07 0.07 0.12 0.02 0.07 0.06 0.14 0.04 0.05
PowerTwoLoci Threshold 1.2 2 0.0000000 0.22 0.33 0.16 0.2 0.22 0.29 0.14 0.2 0.25 0.33 0.16 0.22
PowerTwoLoci Threshold 1.2 2 0.0000500 0.08 0.18 0.04 0.06 0.06 0.15 0.04 0.06 0.07 0.22 0.04 0.05
PowerTwoLoci Threshold 1.2 2 0.0001000 0.02 0.09 0 0 0.04 0.11 0.02 0.02 0.04 0.12 0.02 0.03
PowerTwoLoci Threshold 1.2 2 0.0001500 0.02 0.1 0.01 0.01 0.02 0.08 0 0.01 0.02 0.09 0 0.01
PowerTwoLoci Threshold 1.2 2 0.0002000 0.06 0.16 0.03 0.05 0.09 0.14 0.05 0.05 0.08 0.17 0.04 0.08
PowerTwoLoci Threshold 1.6 2 0.0000000 0.26 0.36 0.14 0.23 0.24 0.4 0.15 0.19 0.3 0.42 0.16 0.24
PowerTwoLoci Threshold 1.6 2 0.0000500 0.1 0.19 0.06 0.08 0.11 0.16 0.04 0.11 0.11 0.2 0.06 0.1
PowerTwoLoci Threshold 1.6 2 0.0001000 0.04 0.1 0.01 0.02 0.03 0.07 0.02 0.03 0.04 0.09 0.02 0.03
PowerTwoLoci Threshold 1.6 2 0.0001500 0.02 0.1 0.02 0.02 0.03 0.1 0 0.02 0.03 0.11 0.01 0.02
PowerTwoLoci Threshold 1.6 2 0.0002000 0.06 0.15 0.04 0.05 0.06 0.11 0.03 0.06 0.06 0.14 0.03 0.05
PowerTwoLoci Threshold 2.0 2 0.0000000 0.3 0.47 0.19 0.27 0.29 0.43 0.19 0.25 0.31 0.48 0.19 0.26
PowerTwoLoci Threshold 2.0 2 0.0000500 0.14 0.26 0.11 0.13 0.13 0.19 0.1 0.12 0.15 0.22 0.12 0.15
PowerTwoLoci Threshold 2.0 2 0.0001000 0.03 0.13 0 0.01 0.04 0.13 0.01 0.01 0.03 0.14 0.01 0.02
PowerTwoLoci Threshold 2.0 2 0.0001500 0.03 0.11 0.01 0.03 0.05 0.09 0 0.02 0.07 0.09 0.01 0.04
PowerTwoLoci Threshold 2.0 2 0.0002000 0.06 0.14 0.04 0.05 0.08 0.14 0.04 0.06 0.08 0.15 0.04 0.06
PowerTwoLoci Threshold 2.4 2 0.0000000 0.3 0.43 0.2 0.25 0.3 0.41 0.19 0.25 0.32 0.42 0.21 0.3
PowerTwoLoci Threshold 2.4 2 0.0000500 0.19 0.28 0.1 0.17 0.16 0.27 0.07 0.13 0.2 0.3 0.11 0.18
PowerTwoLoci Threshold 2.4 2 0.0001000 0.04 0.14 0 0 0.05 0.11 0.02 0.03 0.04 0.16 0.02 0.04
PowerTwoLoci Threshold 2.4 2 0.0001500 0.03 0.08 0.01 0.01 0.04 0.08 0.01 0.03 0.03 0.09 0.01 0.02
PowerTwoLoci Threshold 2.4 2 0.0002000 0.05 0.14 0.03 0.05 0.06 0.1 0.03 0.04 0.04 0.16 0.03 0.04
PowerTwoLoci Threshold 2.6 2 0.0000000 0.36 0.46 0.18 0.3 0.32 0.41 0.19 0.25 0.35 0.45 0.22 0.32
PowerTwoLoci Threshold 2.6 2 0.0000500 0.21 0.27 0.11 0.19 0.17 0.27 0.09 0.15 0.23 0.27 0.13 0.19
PowerTwoLoci Threshold 2.6 2 0.0001000 0.05 0.15 0.01 0.04 0.05 0.15 0.02 0.02 0.07 0.16 0.02 0.06
PowerTwoLoci Threshold 2.6 2 0.0001500 0.04 0.12 0.01 0.02 0.02 0.13 0.01 0.02 0.03 0.11 0.01 0.02
PowerTwoLoci Threshold 2.6 2 0.0002000 0.07 0.13 0.03 0.07 0.07 0.12 0.02 0.07 0.06 0.14 0.04 0.05
PowerTwoLoci Modified 1.2 2 0.0000000 0.22 0.33 0.16 0.2 0.22 0.29 0.14 0.2 0.25 0.33 0.16 0.22
PowerTwoLoci Modified 1.2 2 0.0000500 0.08 0.18 0.04 0.06 0.06 0.15 0.04 0.06 0.07 0.22 0.04 0.05
PowerTwoLoci Modified 1.2 2 0.0001000 0.02 0.09 0 0 0.04 0.11 0.02 0.02 0.04 0.12 0.02 0.03
PowerTwoLoci Modified 1.2 2 0.0001500 0.02 0.1 0.01 0.01 0.02 0.08 0 0.01 0.02 0.09 0 0.01
PowerTwoLoci Modified 1.2 2 0.0002000 0.06 0.16 0.03 0.05 0.09 0.14 0.05 0.05 0.08 0.17 0.04 0.08
PowerTwoLoci Modified 1.6 2 0.0000000 0.26 0.36 0.14 0.23 0.24 0.4 0.15 0.19 0.3 0.42 0.16 0.24
PowerTwoLoci Modified 1.6 2 0.0000500 0.1 0.19 0.06 0.08 0.11 0.16 0.04 0.11 0.11 0.2 0.06 0.1
PowerTwoLoci Modified 1.6 2 0.0001000 0.04 0.1 0.01 0.02 0.03 0.07 0.02 0.03 0.04 0.09 0.02 0.03
PowerTwoLoci Modified 1.6 2 0.0001500 0.02 0.1 0.02 0.02 0.03 0.1 0 0.02 0.03 0.11 0.01 0.02
PowerTwoLoci Modified 1.6 2 0.0002000 0.06 0.15 0.04 0.05 0.06 0.11 0.03 0.06 0.06 0.14 0.03 0.05
PowerTwoLoci Modified 2.0 2 0.0000000 0.3 0.47 0.19 0.27 0.29 0.43 0.19 0.25 0.31 0.48 0.19 0.26
PowerTwoLoci Modified 2.0 2 0.0000500 0.14 0.26 0.11 0.13 0.13 0.19 0.1 0.12 0.15 0.22 0.12 0.15
PowerTwoLoci Modified 2.0 2 0.0001000 0.03 0.13 0 0.01 0.04 0.13 0.01 0.01 0.03 0.14 0.01 0.02
PowerTwoLoci Modified 2.0 2 0.0001500 0.03 0.11 0.01 0.03 0.05 0.09 0 0.02 0.07 0.09 0.01 0.04
PowerTwoLoci Modified 2.0 2 0.0002000 0.06 0.14 0.04 0.05 0.08 0.14 0.04 0.06 0.08 0.15 0.04 0.06
PowerTwoLoci Modified 2.4 2 0.0000000 0.3 0.43 0.2 0.25 0.3 0.41 0.19 0.25 0.32 0.42 0.21 0.3
PowerTwoLoci Modified 2.4 2 0.0000500 0.19 0.28 0.1 0.17 0.16 0.27 0.07 0.13 0.2 0.3 0.11 0.18
PowerTwoLoci Modified 2.4 2 0.0001000 0.04 0.14 0 0 0.05 0.11 0.02 0.03 0.04 0.16 0.02 0.04
PowerTwoLoci Modified 2.4 2 0.0001500 0.03 0.08 0.01 0.01 0.04 0.08 0.01 0.03 0.03 0.09 0.01 0.02
PowerTwoLoci Modified 2.4 2 0.0002000 0.05 0.14 0.03 0.05 0.06 0.1 0.03 0.04 0.04 0.16 0.03 0.04
PowerTwoLoci Modified 2.6 2 0.0000000 0.36 0.46 0.18 0.3 0.32 0.41 0.19 0.25 0.35 0.45 0.22 0.32
PowerTwoLoci Modified 2.6 2 0.0000500 0.21 0.27 0.11 0.19 0.17 0.27 0.09 0.15 0.23 0.27 0.13 0.19
PowerTwoLoci Modified 2.6 2 0.0001000 0.05 0.15 0.01 0.04 0.05 0.15 0.02 0.02 0.07 0.16 0.02 0.06
PowerTwoLoci Modified 2.6 2 0.0001500 0.04 0.12 0.01 0.02 0.02 0.13 0.01 0.02 0.03 0.11 0.01 0.02
PowerTwoLoci Modified 2.6 2 0.0002000 0.07 0.13 0.03 0.07 0.07 0.12 0.02 0.07 0.06 0.14 0.04 0.05
PowerTwoLoci Additive 1.2 4 0.0000000 0.41 0.52 0.31 0.39 0.32 0.43 0.24 0.29 0.41 0.51 0.27 0.32
PowerTwoLoci Additive 1.2 4 0.0000500 0.16 0.29 0.09 0.13 0.1 0.2 0.05 0.08 0.15 0.23 0.06 0.12
PowerTwoLoci Additive 1.2 4 0.0001000 0.04 0.11 0.01 0.03 0.02 0.06 0.02 0.02 0.03 0.08 0.02 0.02
PowerTwoLoci Additive 1.2 4 0.0001500 0.04 0.09 0.03 0.04 0.05 0.14 0 0.03 0.04 0.14 0.01 0.03
PowerTwoLoci Additive 1.2 4 0.0002000 0.06 0.13 0.04 0.04 0.1 0.12 0.03 0.06 0.08 0.14 0.05 0.05
PowerTwoLoci Additive 1.6 4 0.0000000 0.4 0.48 0.33 0.38 0.37 0.44 0.28 0.35 0.42 0.5 0.34 0.39
PowerTwoLoci Additive 1.6 4 0.0000500 0.18 0.32 0.11 0.17 0.14 0.24 0.09 0.14 0.17 0.28 0.13 0.15
PowerTwoLoci Additive 1.6 4 0.0001000 0.05 0.11 0.02 0.02 0.05 0.14 0.02 0.04 0.08 0.14 0.02 0.06
PowerTwoLoci Additive 1.6 4 0.0001500 0.04 0.12 0.02 0.03 0.04 0.12 0 0.03 0.04 0.13 0 0.03
PowerTwoLoci Additive 1.6 4 0.0002000 0.08 0.16 0.04 0.06 0.05 0.11 0.03 0.03 0.07 0.13 0.03 0.07
PowerTwoLoci Additive 2.0 4 0.0000000 0.47 0.57 0.39 0.45 0.43 0.53 0.33 0.35 0.48 0.57 0.37 0.44
PowerTwoLoci Additive 2.0 4 0.0000500 0.23 0.32 0.11 0.18 0.19 0.25 0.09 0.12 0.19 0.32 0.12 0.15
PowerTwoLoci Additive 2.0 4 0.0001000 0.03 0.12 0.02 0.03 0.05 0.13 0.01 0.03 0.06 0.15 0.01 0.04
PowerTwoLoci Additive 2.0 4 0.0001500 0.05 0.1 0.01 0.03 0.05 0.13 0.01 0.03 0.06 0.13 0.01 0.03
PowerTwoLoci Additive 2.0 4 0.0002000 0.05 0.13 0.04 0.05 0.08 0.17 0.06 0.07 0.08 0.17 0.06 0.08
PowerTwoLoci Additive 2.4 4 0.0000000 0.51 0.6 0.43 0.47 0.46 0.6 0.35 0.39 0.51 0.63 0.38 0.49
PowerTwoLoci Additive 2.4 4 0.0000500 0.23 0.33 0.12 0.19 0.21 0.31 0.12 0.17 0.27 0.34 0.15 0.22
PowerTwoLoci Additive 2.4 4 0.0001000 0.06 0.14 0.02 0.03 0.06 0.12 0.05 0.05 0.09 0.14 0.03 0.06
PowerTwoLoci Additive 2.4 4 0.0001500 0.05 0.12 0.01 0.05 0.05 0.16 0 0.05 0.05 0.13 0.01 0.04
PowerTwoLoci Additive 2.4 4 0.0002000 0.07 0.18 0.05 0.05 0.07 0.16 0.05 0.07 0.08 0.19 0.05 0.07
PowerTwoLoci Additive 2.6 4 0.0000000 0.52 0.56 0.43 0.45 0.48 0.59 0.35 0.42 0.52 0.6 0.42 0.5
PowerTwoLoci Additive 2.6 4 0.0000500 0.25 0.35 0.17 0.21 0.22 0.34 0.12 0.18 0.27 0.38 0.18 0.23
PowerTwoLoci Additive 2.6 4 0.0001000 0.05 0.14 0.03 0.05 0.08 0.13 0 0.04 0.09 0.16 0.01 0.05
PowerTwoLoci Additive 2.6 4 0.0001500 0.05 0.1 0.02 0.05 0.07 0.17 0.01 0.04 0.06 0.16 0.02 0.06
PowerTwoLoci Additive 2.6 4 0.0002000 0.08 0.2 0.05 0.08 0.09 0.15 0.03 0.04 0.1 0.16 0.03 0.07
PowerTwoLoci DomOrDom 1.2 4 0.0000000 0.42 0.49 0.24 0.35 0.33 0.42 0.24 0.29 0.33 0.5 0.25 0.31
PowerTwoLoci DomOrDom 1.2 4 0.0000500 0.11 0.26 0.05 0.09 0.05 0.2 0.02 0.05 0.09 0.25 0.05 0.07
PowerTwoLoci DomOrDom 1.2 4 0.0001000 0.05 0.13 0.03 0.04 0.03 0.12 0 0.02 0.04 0.15 0.02 0.03
PowerTwoLoci DomOrDom 1.2 4 0.0001500 0.03 0.09 0 0.03 0.02 0.12 0 0 0.02 0.14 0 0.02
PowerTwoLoci DomOrDom 1.2 4 0.0002000 0.08 0.17 0.03 0.06 0.07 0.13 0.02 0.06 0.08 0.17 0.02 0.07
PowerTwoLoci DomOrDom 1.6 4 0.0000000 0.41 0.55 0.32 0.36 0.39 0.47 0.29 0.36 0.43 0.52 0.33 0.37
PowerTwoLoci DomOrDom 1.6 4 0.0000500 0.16 0.32 0.11 0.15 0.16 0.21 0.11 0.14 0.2 0.27 0.12 0.12
PowerTwoLoci DomOrDom 1.6 4 0.0001000 0.07 0.12 0.03 0.04 0.05 0.09 0.04 0.05 0.05 0.08 0.03 0.05
PowerTwoLoci DomOrDom 1.6 4 0.0001500 0.03 0.1 0.01 0.03 0.06 0.15 0 0.02 0.06 0.12 0 0.03
PowerTwoLoci DomOrDom 1.6 4 0.0002000 0.08 0.14 0.03 0.05 0.07 0.14 0.02 0.04 0.07 0.17 0.03 0.05
PowerTwoLoci DomOrDom 2.0 4 0.0000000 0.49 0.6 0.39 0.46 0.45 0.58 0.33 0.38 0.47 0.62 0.37 0.47
PowerTwoLoci DomOrDom 2.0 4 0.0000500 0.2 0.36 0.13 0.17 0.2 0.33 0.12 0.16 0.25 0.37 0.16 0.21
PowerTwoLoci DomOrDom 2.0 4 0.0001000 0.06 0.12 0.03 0.04 0.06 0.16 0.03 0.06 0.08 0.16 0.03 0.06
PowerTwoLoci DomOrDom 2.0 4 0.0001500 0.05 0.11 0.01 0.03 0.06 0.13 0.02 0.03 0.04 0.12 0.02 0.04
PowerTwoLoci DomOrDom 2.0 4 0.0002000 0.08 0.15 0.05 0.08 0.09 0.16 0.05 0.09 0.08 0.16 0.08 0.08
PowerTwoLoci DomOrDom 2.4 4 0.0000000 0.5 0.61 0.39 0.46 0.47 0.57 0.35 0.44 0.5 0.63 0.4 0.47
PowerTwoLoci DomOrDom 2.4 4 0.0000500 0.27 0.41 0.14 0.22 0.23 0.35 0.14 0.18 0.24 0.42 0.19 0.2
PowerTwoLoci DomOrDom 2.4 4 0.0001000 0.1 0.16 0.02 0.09 0.09 0.15 0.04 0.07 0.11 0.14 0.04 0.07
PowerTwoLoci DomOrDom 2.4 4 0.0001500 0.04 0.14 0 0.02 0.03 0.13 0.01 0.03 0.05 0.12 0.01 0.04
PowerTwoLoci DomOrDom 2.4 4 0.0002000 0.11 0.18 0.05 0.07 0.05 0.13 0.03 0.04 0.05 0.14 0.04 0.05
PowerTwoLoci DomOrDom 2.6 4 0.0000000 0.52 0.64 0.46 0.51 0.51 0.56 0.42 0.46 0.52 0.62 0.46 0.51
PowerTwoLoci DomOrDom 2.6 4 0.0000500 0.26 0.36 0.17 0.21 0.21 0.34 0.15 0.19 0.24 0.42 0.19 0.22
PowerTwoLoci DomOrDom 2.6 4 0.0001000 0.09 0.13 0.02 0.05 0.08 0.2 0.04 0.07 0.11 0.21 0.03 0.08
PowerTwoLoci DomOrDom 2.6 4 0.0001500 0.04 0.15 0 0.03 0.07 0.12 0.02 0.05 0.09 0.15 0.02 0.05
PowerTwoLoci DomOrDom 2.6 4 0.0002000 0.07 0.13 0.04 0.05 0.07 0.13 0.05 0.07 0.07 0.16 0.05 0.06
PowerTwoLoci DomAndDom 1.2 4 0.0000000 0.42 0.49 0.24 0.35 0.33 0.42 0.24 0.29 0.33 0.5 0.25 0.31
PowerTwoLoci DomAndDom 1.2 4 0.0000500 0.12 0.27 0.05 0.09 0.05 0.19 0.02 0.05 0.08 0.25 0.05 0.06
