test model relativeRisk haplotypeLength recFrac CrossValidation_fold5_mTDT_01 CrossValidation_fold5_mTDT_05 CrossValidation_fold5_mTDT_001 CrossValidation_fold5_mTDT_005 CrossValidation_fold5_mTDT_minFreq10.00000_01 CrossValidation_fold5_mTDT_minFreq10.00000_05 CrossValidation_fold5_mTDT_minFreq10.00000_001 CrossValidation_fold5_mTDT_minFreq10.00000_005 CrossValidation_fold5_ScoreTDT_01 CrossValidation_fold5_ScoreTDT_05 CrossValidation_fold5_ScoreTDT_001 CrossValidation_fold5_ScoreTDT_005 CrossValidation_fold5_ScoreTDT_minFreq10.00000_01 CrossValidation_fold5_ScoreTDT_minFreq10.00000_05 CrossValidation_fold5_ScoreTDT_minFreq10.00000_001 CrossValidation_fold5_ScoreTDT_minFreq10.00000_005 CrossValidation_fold5_mTDT1T_01 CrossValidation_fold5_mTDT1T_05 CrossValidation_fold5_mTDT1T_001 CrossValidation_fold5_mTDT1T_005 CrossValidation_fold5_mTDT1T_minFreq10.00000_01 CrossValidation_fold5_mTDT1T_minFreq10.00000_05 CrossValidation_fold5_mTDT1T_minFreq10.00000_001 CrossValidation_fold5_mTDT1T_minFreq10.00000_005 CrossValidation_fold5_mTDT2G_01 CrossValidation_fold5_mTDT2G_05 CrossValidation_fold5_mTDT2G_001 CrossValidation_fold5_mTDT2G_005 CrossValidation_fold5_mTDT2G_minFreq10.00000_01 CrossValidation_fold5_mTDT2G_minFreq10.00000_05 CrossValidation_fold5_mTDT2G_minFreq10.00000_001 CrossValidation_fold5_mTDT2G_minFreq10.00000_005 CrossValidation_fold5_mTDT1_01 CrossValidation_fold5_mTDT1_05 CrossValidation_fold5_mTDT1_001 CrossValidation_fold5_mTDT1_005 CrossValidation_fold5_mTDT1_minFreq10.00000_01 CrossValidation_fold5_mTDT1_minFreq10.00000_05 CrossValidation_fold5_mTDT1_minFreq10.00000_001 CrossValidation_fold5_mTDT1_minFreq10.00000_005 
PowerTwoLoci DomAndDom 10 10 0.0001500 0 0 0 0 0.15 0.33 0.09 0.12 0 0 0 0 0.17 0.34 0.09 0.13 0 0.02 0 0 0.04 0.07 0.03 0.04 0 0.03 0 0 0.06 0.12 0.05 0.06 0 0.02 0 0 0.02 0.05 0.02 0.02
PowerTwoLoci RecOrRec 2 10 0.0000000 0.04 0.11 0.02 0.03 0.45 0.52 0.36 0.42 0.03 0.07 0.01 0.02 0.43 0.52 0.32 0.37 0.09 0.15 0.03 0.06 0.33 0.39 0.21 0.31 0.07 0.17 0.03 0.05 0.35 0.41 0.23 0.31 0.09 0.15 0.03 0.06 0.22 0.32 0.17 0.18
PowerTwoLoci RecOrRec 2 10 0.0000500 0 0 0 0 0.18 0.3 0.09 0.15 0 0 0 0 0.16 0.29 0.1 0.13 0.01 0.01 0 0.01 0.06 0.12 0.03 0.06 0 0 0 0 0.06 0.11 0.01 0.03 0.01 0.01 0 0.01 0.03 0.07 0.02 0.02
PowerTwoLoci RecOrRec 2 10 0.0001000 0 0 0 0 0.04 0.15 0.03 0.04 0 0 0 0 0.06 0.15 0.03 0.04 0.01 0.01 0 0 0.02 0.03 0.01 0.01 0 0 0 0 0.01 0.03 0 0.01 0.01 0.01 0 0 0.02 0.03 0.01 0.01
PowerTwoLoci RecOrRec 2 10 0.0001500 0 0 0 0 0.03 0.11 0.01 0.02 0 0 0 0 0.02 0.1 0.01 0.02 0 0 0 0 0.01 0.03 0 0.01 0 0 0 0 0 0.02 0 0 0 0 0 0 0 0 0 0
PowerTwoLoci RecOrRec 4 10 0.0000000 0.19 0.29 0.11 0.16 0.65 0.73 0.56 0.61 0.14 0.24 0.06 0.1 0.63 0.72 0.53 0.6 0.21 0.29 0.13 0.17 0.49 0.54 0.44 0.47 0.26 0.37 0.17 0.24 0.54 0.62 0.48 0.51 0.21 0.29 0.13 0.17 0.37 0.44 0.33 0.34
PowerTwoLoci RecOrRec 4 10 0.0000500 0 0.04 0 0 0.35 0.44 0.28 0.33 0 0.03 0 0 0.36 0.45 0.27 0.32 0.03 0.07 0 0.03 0.17 0.21 0.15 0.15 0.03 0.08 0 0.01 0.23 0.32 0.17 0.2 0.03 0.07 0 0.03 0.11 0.17 0.09 0.09
PowerTwoLoci RecOrRec 4 10 0.0001000 0 0.01 0 0 0.21 0.34 0.11 0.16 0 0 0 0 0.2 0.32 0.1 0.16 0.01 0.01 0.01 0.01 0.05 0.08 0.02 0.04 0.01 0.03 0 0 0.04 0.11 0.02 0.04 0.01 0.01 0.01 0.01 0.04 0.09 0.03 0.03
PowerTwoLoci RecOrRec 4 10 0.0001500 0 0 0 0 0.09 0.19 0.04 0.06 0 0 0 0 0.09 0.18 0.04 0.05 0 0 0 0 0.02 0.05 0 0.01 0 0.01 0 0 0.05 0.08 0.01 0.04 0 0 0 0 0.01 0.04 0 0.01
PowerTwoLoci RecOrRec 6 10 0.0000000 0.34 0.46 0.26 0.32 0.89 0.91 0.8 0.87 0.3 0.42 0.18 0.25 0.88 0.91 0.77 0.85 0.32 0.42 0.22 0.3 0.64 0.71 0.58 0.62 0.46 0.52 0.35 0.43 0.72 0.78 0.62 0.69 0.33 0.45 0.22 0.3 0.56 0.68 0.5 0.54
PowerTwoLoci RecOrRec 6 10 0.0000500 0.04 0.08 0.02 0.03 0.49 0.57 0.38 0.41 0.03 0.06 0 0.01 0.49 0.57 0.4 0.44 0.05 0.14 0.03 0.04 0.28 0.41 0.22 0.24 0.08 0.17 0.03 0.04 0.28 0.35 0.24 0.27 0.05 0.13 0.03 0.04 0.25 0.32 0.17 0.22
PowerTwoLoci RecOrRec 6 10 0.0001000 0.01 0.02 0 0.01 0.35 0.44 0.23 0.29 0.01 0.02 0 0 0.35 0.45 0.23 0.3 0.01 0.02 0.01 0.01 0.11 0.16 0.09 0.11 0.02 0.04 0 0.02 0.16 0.24 0.05 0.09 0.01 0.02 0.01 0.01 0.06 0.14 0.02 0.03
PowerTwoLoci RecOrRec 6 10 0.0001500 0 0 0 0 0.19 0.28 0.1 0.12 0 0 0 0 0.18 0.28 0.09 0.12 0 0 0 0 0.03 0.07 0.03 0.03 0.01 0.02 0 0.01 0.06 0.14 0.03 0.05 0 0 0 0 0.03 0.05 0.02 0.03
PowerTwoLoci RecOrRec 8 10 0.0000000 0.46 0.55 0.37 0.42 0.91 0.94 0.89 0.9 0.42 0.51 0.27 0.35 0.93 0.94 0.88 0.9 0.42 0.53 0.33 0.36 0.73 0.87 0.66 0.7 0.56 0.73 0.45 0.53 0.88 0.93 0.79 0.84 0.43 0.57 0.33 0.38 0.75 0.88 0.67 0.73
PowerTwoLoci RecOrRec 8 10 0.0000500 0.08 0.19 0.03 0.07 0.62 0.75 0.49 0.54 0.05 0.15 0.03 0.05 0.64 0.76 0.5 0.57 0.1 0.18 0.04 0.07 0.33 0.45 0.27 0.3 0.15 0.24 0.06 0.11 0.42 0.54 0.35 0.41 0.09 0.18 0.04 0.06 0.28 0.44 0.22 0.27
PowerTwoLoci RecOrRec 8 10 0.0001000 0.01 0.03 0 0.01 0.41 0.56 0.33 0.38 0 0.03 0 0 0.43 0.55 0.33 0.39 0.01 0.04 0.01 0.01 0.14 0.22 0.08 0.09 0.04 0.07 0 0.01 0.22 0.34 0.11 0.19 0.01 0.04 0.01 0.01 0.11 0.17 0.04 0.08
PowerTwoLoci RecOrRec 8 10 0.0001500 0 0 0 0 0.22 0.37 0.12 0.18 0 0 0 0 0.22 0.4 0.13 0.19 0 0.01 0 0 0.08 0.13 0.04 0.06 0.01 0.04 0 0 0.08 0.17 0.05 0.07 0 0.01 0 0 0.06 0.11 0.01 0.04
PowerTwoLoci RecOrRec 10 10 0.0000000 0.54 0.7 0.44 0.52 0.97 0.98 0.95 0.96 0.49 0.61 0.38 0.44 0.96 0.99 0.94 0.96 0.44 0.64 0.35 0.4 0.84 0.93 0.74 0.82 0.63 0.84 0.54 0.58 0.91 0.93 0.87 0.89 0.49 0.7 0.35 0.44 0.86 0.91 0.79 0.83
PowerTwoLoci RecOrRec 10 10 0.0000500 0.14 0.25 0.08 0.13 0.77 0.82 0.66 0.72 0.11 0.21 0.02 0.1 0.76 0.83 0.64 0.73 0.14 0.21 0.07 0.1 0.41 0.53 0.29 0.34 0.17 0.32 0.11 0.15 0.45 0.52 0.37 0.45 0.14 0.2 0.07 0.1 0.33 0.48 0.24 0.29
PowerTwoLoci RecOrRec 10 10 0.0001000 0.02 0.09 0.01 0.02 0.46 0.63 0.4 0.43 0.02 0.08 0 0.01 0.5 0.6 0.39 0.42 0.02 0.08 0.01 0.02 0.21 0.27 0.14 0.18 0.05 0.14 0.01 0.02 0.28 0.36 0.22 0.27 0.02 0.08 0.01 0.02 0.22 0.33 0.15 0.18
PowerTwoLoci RecOrRec 10 10 0.0001500 0 0.03 0 0 0.3 0.43 0.2 0.28 0 0.02 0 0 0.3 0.41 0.2 0.26 0 0.03 0 0 0.11 0.16 0.07 0.09 0.02 0.1 0 0.01 0.14 0.24 0.08 0.11 0 0.03 0 0 0.1 0.14 0.05 0.08
PowerTwoLoci Threshold 2 10 0.0000000 0.04 0.11 0.02 0.03 0.45 0.52 0.36 0.42 0.03 0.07 0.01 0.02 0.43 0.52 0.32 0.37 0.09 0.15 0.03 0.06 0.33 0.39 0.21 0.31 0.07 0.17 0.03 0.05 0.35 0.41 0.23 0.31 0.09 0.15 0.03 0.06 0.22 0.32 0.17 0.18
PowerTwoLoci Threshold 2 10 0.0000500 0 0 0 0 0.18 0.3 0.09 0.15 0 0 0 0 0.16 0.29 0.1 0.13 0.01 0.01 0 0.01 0.06 0.12 0.03 0.06 0 0 0 0 0.06 0.11 0.01 0.03 0.01 0.01 0 0.01 0.03 0.07 0.02 0.02
PowerTwoLoci Threshold 2 10 0.0001000 0 0 0 0 0.04 0.15 0.03 0.04 0 0 0 0 0.06 0.15 0.03 0.04 0.01 0.01 0 0 0.02 0.03 0.01 0.01 0 0 0 0 0.01 0.03 0 0.01 0.01 0.01 0 0 0.02 0.03 0.01 0.01
PowerTwoLoci Threshold 2 10 0.0001500 0 0 0 0 0.03 0.11 0.01 0.02 0 0 0 0 0.02 0.1 0.01 0.02 0 0 0 0 0.01 0.03 0 0.01 0 0 0 0 0 0.02 0 0 0 0 0 0 0 0 0 0
PowerTwoLoci Threshold 4 10 0.0000000 0.19 0.29 0.11 0.16 0.65 0.73 0.56 0.61 0.14 0.24 0.06 0.1 0.63 0.72 0.53 0.6 0.21 0.29 0.13 0.17 0.49 0.54 0.44 0.47 0.26 0.37 0.17 0.24 0.54 0.62 0.48 0.51 0.21 0.29 0.13 0.17 0.37 0.44 0.33 0.34
PowerTwoLoci Threshold 4 10 0.0000500 0 0.04 0 0 0.35 0.44 0.28 0.33 0 0.03 0 0 0.36 0.45 0.27 0.32 0.03 0.07 0 0.03 0.17 0.21 0.15 0.15 0.03 0.08 0 0.01 0.23 0.32 0.17 0.2 0.03 0.07 0 0.03 0.11 0.17 0.09 0.09
PowerTwoLoci Threshold 4 10 0.0001000 0 0.01 0 0 0.21 0.34 0.11 0.16 0 0 0 0 0.2 0.32 0.1 0.16 0.01 0.01 0.01 0.01 0.05 0.08 0.02 0.04 0.01 0.03 0 0 0.04 0.11 0.02 0.04 0.01 0.01 0.01 0.01 0.04 0.09 0.03 0.03
PowerTwoLoci Threshold 4 10 0.0001500 0 0 0 0 0.09 0.19 0.04 0.06 0 0 0 0 0.09 0.18 0.04 0.05 0 0 0 0 0.02 0.05 0 0.01 0 0.01 0 0 0.05 0.08 0.01 0.04 0 0 0 0 0.01 0.04 0 0.01
PowerTwoLoci Threshold 6 10 0.0000000 0.34 0.46 0.26 0.32 0.89 0.91 0.8 0.87 0.3 0.42 0.18 0.25 0.88 0.91 0.77 0.85 0.32 0.42 0.22 0.3 0.64 0.71 0.58 0.62 0.46 0.52 0.35 0.43 0.72 0.78 0.62 0.69 0.33 0.45 0.22 0.3 0.56 0.68 0.5 0.54
PowerTwoLoci Threshold 6 10 0.0000500 0.04 0.08 0.02 0.03 0.49 0.57 0.38 0.41 0.03 0.06 0 0.01 0.49 0.57 0.4 0.44 0.05 0.14 0.03 0.04 0.28 0.41 0.22 0.24 0.08 0.17 0.03 0.04 0.28 0.35 0.24 0.27 0.05 0.13 0.03 0.04 0.25 0.32 0.17 0.22
PowerTwoLoci Threshold 6 10 0.0001000 0.01 0.02 0 0.01 0.35 0.44 0.23 0.29 0.01 0.02 0 0 0.35 0.45 0.23 0.3 0.01 0.02 0.01 0.01 0.11 0.16 0.09 0.11 0.02 0.04 0 0.02 0.16 0.24 0.05 0.09 0.01 0.02 0.01 0.01 0.06 0.14 0.02 0.03
PowerTwoLoci Threshold 6 10 0.0001500 0 0 0 0 0.19 0.28 0.1 0.12 0 0 0 0 0.18 0.28 0.09 0.12 0 0 0 0 0.03 0.07 0.03 0.03 0.01 0.02 0 0.01 0.06 0.14 0.03 0.05 0 0 0 0 0.03 0.05 0.02 0.03
PowerTwoLoci Threshold 8 10 0.0000000 0.46 0.55 0.37 0.42 0.91 0.94 0.89 0.9 0.42 0.51 0.27 0.35 0.93 0.94 0.88 0.9 0.42 0.53 0.33 0.36 0.73 0.87 0.66 0.7 0.56 0.73 0.45 0.53 0.88 0.93 0.79 0.84 0.43 0.57 0.33 0.38 0.75 0.88 0.67 0.73
PowerTwoLoci Threshold 8 10 0.0000500 0.08 0.19 0.03 0.07 0.62 0.75 0.49 0.54 0.05 0.15 0.03 0.05 0.64 0.76 0.5 0.57 0.1 0.18 0.04 0.07 0.33 0.45 0.27 0.3 0.15 0.24 0.06 0.11 0.42 0.54 0.35 0.41 0.09 0.18 0.04 0.06 0.28 0.44 0.22 0.27
PowerTwoLoci Threshold 8 10 0.0001000 0.01 0.03 0 0.01 0.41 0.56 0.33 0.38 0 0.03 0 0 0.43 0.55 0.33 0.39 0.01 0.04 0.01 0.01 0.14 0.22 0.08 0.09 0.04 0.07 0 0.01 0.22 0.34 0.11 0.19 0.01 0.04 0.01 0.01 0.11 0.17 0.04 0.08
PowerTwoLoci Threshold 8 10 0.0001500 0 0 0 0 0.22 0.37 0.12 0.18 0 0 0 0 0.22 0.4 0.13 0.19 0 0.01 0 0 0.08 0.13 0.04 0.06 0.01 0.04 0 0 0.08 0.17 0.05 0.07 0 0.01 0 0 0.06 0.11 0.01 0.04
PowerTwoLoci Threshold 10 10 0.0000000 0.54 0.7 0.44 0.52 0.97 0.98 0.95 0.96 0.49 0.61 0.38 0.44 0.96 0.99 0.94 0.96 0.44 0.64 0.35 0.4 0.84 0.93 0.74 0.82 0.63 0.84 0.54 0.58 0.91 0.93 0.87 0.89 0.49 0.7 0.35 0.44 0.86 0.91 0.79 0.83
PowerTwoLoci Threshold 10 10 0.0000500 0.14 0.25 0.08 0.13 0.77 0.82 0.66 0.72 0.11 0.21 0.02 0.1 0.76 0.83 0.64 0.73 0.14 0.21 0.07 0.1 0.41 0.53 0.29 0.34 0.17 0.32 0.11 0.15 0.45 0.52 0.37 0.45 0.14 0.2 0.07 0.1 0.33 0.48 0.24 0.29
PowerTwoLoci Threshold 10 10 0.0001000 0.02 0.09 0.01 0.02 0.46 0.63 0.4 0.43 0.02 0.08 0 0.01 0.5 0.6 0.39 0.42 0.02 0.08 0.01 0.02 0.21 0.27 0.14 0.18 0.05 0.14 0.01 0.02 0.28 0.36 0.22 0.27 0.02 0.08 0.01 0.02 0.22 0.33 0.15 0.18
PowerTwoLoci Threshold 10 10 0.0001500 0 0.03 0 0 0.3 0.43 0.2 0.28 0 0.02 0 0 0.3 0.41 0.2 0.26 0 0.03 0 0 0.11 0.16 0.07 0.09 0.02 0.1 0 0.01 0.14 0.24 0.08 0.11 0 0.03 0 0 0.1 0.14 0.05 0.08
PowerTwoLoci Modified 2 10 0.0000000 0.04 0.11 0.02 0.03 0.45 0.52 0.36 0.42 0.03 0.07 0.01 0.02 0.43 0.52 0.32 0.37 0.09 0.15 0.03 0.06 0.33 0.39 0.21 0.31 0.07 0.17 0.03 0.05 0.35 0.41 0.23 0.31 0.09 0.15 0.03 0.06 0.22 0.32 0.17 0.18
PowerTwoLoci Modified 2 10 0.0000500 0 0 0 0 0.18 0.3 0.09 0.15 0 0 0 0 0.16 0.29 0.1 0.13 0.01 0.01 0 0.01 0.06 0.12 0.03 0.06 0 0 0 0 0.06 0.11 0.01 0.03 0.01 0.01 0 0.01 0.03 0.07 0.02 0.02
PowerTwoLoci Modified 2 10 0.0001000 0 0 0 0 0.04 0.15 0.03 0.04 0 0 0 0 0.06 0.15 0.03 0.04 0.01 0.01 0 0 0.02 0.03 0.01 0.01 0 0 0 0 0.01 0.03 0 0.01 0.01 0.01 0 0 0.02 0.03 0.01 0.01
PowerTwoLoci Modified 2 10 0.0001500 0 0 0 0 0.03 0.11 0.01 0.02 0 0 0 0 0.02 0.1 0.01 0.02 0 0 0 0 0.01 0.03 0 0.01 0 0 0 0 0 0.02 0 0 0 0 0 0 0 0 0 0
PowerTwoLoci Modified 4 10 0.0000000 0.19 0.29 0.11 0.16 0.65 0.73 0.56 0.61 0.14 0.24 0.06 0.1 0.63 0.72 0.53 0.6 0.21 0.29 0.13 0.17 0.49 0.54 0.44 0.47 0.26 0.37 0.17 0.24 0.54 0.62 0.48 0.51 0.21 0.29 0.13 0.17 0.37 0.44 0.33 0.34
PowerTwoLoci Modified 4 10 0.0000500 0 0.04 0 0 0.35 0.44 0.28 0.33 0 0.03 0 0 0.36 0.45 0.27 0.32 0.03 0.07 0 0.03 0.17 0.21 0.15 0.15 0.03 0.08 0 0.01 0.23 0.32 0.17 0.2 0.03 0.07 0 0.03 0.11 0.17 0.09 0.09
PowerTwoLoci Modified 4 10 0.0001000 0 0.01 0 0 0.21 0.34 0.11 0.16 0 0 0 0 0.2 0.32 0.1 0.16 0.01 0.01 0.01 0.01 0.05 0.08 0.02 0.04 0.01 0.03 0 0 0.04 0.11 0.02 0.04 0.01 0.01 0.01 0.01 0.04 0.09 0.03 0.03
PowerTwoLoci Modified 4 10 0.0001500 0 0 0 0 0.09 0.19 0.04 0.06 0 0 0 0 0.09 0.18 0.04 0.05 0 0 0 0 0.02 0.05 0 0.01 0 0.01 0 0 0.05 0.08 0.01 0.04 0 0 0 0 0.01 0.04 0 0.01
PowerTwoLoci Modified 6 10 0.0000000 0.34 0.46 0.26 0.32 0.89 0.91 0.8 0.87 0.3 0.42 0.18 0.25 0.88 0.91 0.77 0.85 0.32 0.42 0.22 0.3 0.64 0.71 0.58 0.62 0.46 0.52 0.35 0.43 0.72 0.78 0.62 0.69 0.33 0.45 0.22 0.3 0.56 0.68 0.5 0.54
PowerTwoLoci Modified 6 10 0.0000500 0.04 0.08 0.02 0.03 0.49 0.57 0.38 0.41 0.03 0.06 0 0.01 0.49 0.57 0.4 0.44 0.05 0.14 0.03 0.04 0.28 0.41 0.22 0.24 0.08 0.17 0.03 0.04 0.28 0.35 0.24 0.27 0.05 0.13 0.03 0.04 0.25 0.32 0.17 0.22
PowerTwoLoci Modified 6 10 0.0001000 0.01 0.02 0 0.01 0.35 0.44 0.23 0.29 0.01 0.02 0 0 0.35 0.45 0.23 0.3 0.01 0.02 0.01 0.01 0.11 0.16 0.09 0.11 0.02 0.04 0 0.02 0.16 0.24 0.05 0.09 0.01 0.02 0.01 0.01 0.06 0.14 0.02 0.03
PowerTwoLoci Modified 6 10 0.0001500 0 0 0 0 0.19 0.28 0.1 0.12 0 0 0 0 0.18 0.28 0.09 0.12 0 0 0 0 0.03 0.07 0.03 0.03 0.01 0.02 0 0.01 0.06 0.14 0.03 0.05 0 0 0 0 0.03 0.05 0.02 0.03
PowerTwoLoci Modified 8 10 0.0000000 0.46 0.55 0.37 0.42 0.91 0.94 0.89 0.9 0.42 0.51 0.27 0.35 0.93 0.94 0.88 0.9 0.42 0.53 0.33 0.36 0.73 0.87 0.66 0.7 0.56 0.73 0.45 0.53 0.88 0.93 0.79 0.84 0.43 0.57 0.33 0.38 0.75 0.88 0.67 0.73
PowerTwoLoci Modified 8 10 0.0000500 0.08 0.19 0.03 0.07 0.62 0.75 0.49 0.54 0.05 0.15 0.03 0.05 0.64 0.76 0.5 0.57 0.1 0.18 0.04 0.07 0.33 0.45 0.27 0.3 0.15 0.24 0.06 0.11 0.42 0.54 0.35 0.41 0.09 0.18 0.04 0.06 0.28 0.44 0.22 0.27
PowerTwoLoci Modified 8 10 0.0001000 0.01 0.03 0 0.01 0.41 0.56 0.33 0.38 0 0.03 0 0 0.43 0.55 0.33 0.39 0.01 0.04 0.01 0.01 0.14 0.22 0.08 0.09 0.04 0.07 0 0.01 0.22 0.34 0.11 0.19 0.01 0.04 0.01 0.01 0.11 0.17 0.04 0.08
PowerTwoLoci Modified 8 10 0.0001500 0 0 0 0 0.22 0.37 0.12 0.18 0 0 0 0 0.22 0.4 0.13 0.19 0 0.01 0 0 0.08 0.13 0.04 0.06 0.01 0.04 0 0 0.08 0.17 0.05 0.07 0 0.01 0 0 0.06 0.11 0.01 0.04
PowerTwoLoci Modified 10 10 0.0000000 0.54 0.7 0.44 0.52 0.97 0.98 0.95 0.96 0.49 0.61 0.38 0.44 0.96 0.99 0.94 0.96 0.44 0.64 0.35 0.4 0.84 0.93 0.74 0.82 0.63 0.84 0.54 0.58 0.91 0.93 0.87 0.89 0.49 0.7 0.35 0.44 0.86 0.91 0.79 0.83
PowerTwoLoci Modified 10 10 0.0000500 0.14 0.25 0.08 0.13 0.77 0.82 0.66 0.72 0.11 0.21 0.02 0.1 0.76 0.83 0.64 0.73 0.14 0.21 0.07 0.1 0.41 0.53 0.29 0.34 0.17 0.32 0.11 0.15 0.45 0.52 0.37 0.45 0.14 0.2 0.07 0.1 0.33 0.48 0.24 0.29
PowerTwoLoci Modified 10 10 0.0001000 0.02 0.09 0.01 0.02 0.46 0.63 0.4 0.43 0.02 0.08 0 0.01 0.5 0.6 0.39 0.42 0.02 0.08 0.01 0.02 0.21 0.27 0.14 0.18 0.05 0.14 0.01 0.02 0.28 0.36 0.22 0.27 0.02 0.08 0.01 0.02 0.22 0.33 0.15 0.18
PowerTwoLoci Modified 10 10 0.0001500 0 0.03 0 0 0.3 0.43 0.2 0.28 0 0.02 0 0 0.3 0.41 0.2 0.26 0 0.03 0 0 0.11 0.16 0.07 0.09 0.02 0.1 0 0.01 0.14 0.24 0.08 0.11 0 0.03 0 0 0.1 0.14 0.05 0.08
PowerOneLocus Additive 2 10 0.0000000 0.07 0.12 0.02 0.06 0.46 0.6 0.39 0.43 0.04 0.09 0.01 0.03 0.47 0.54 0.37 0.43 0.07 0.11 0.05 0.07 0.31 0.41 0.28 0.3 0.14 0.2 0.07 0.12 0.37 0.44 0.29 0.34 0.07 0.11 0.05 0.07 0.29 0.38 0.24 0.27
PowerOneLocus Additive 2 10 0.0000500 0 0.02 0 0 0.21 0.29 0.16 0.2 0 0.01 0 0 0.21 0.3 0.17 0.2 0 0.03 0 0 0.1 0.1 0.09 0.09 0 0.04 0 0 0.11 0.16 0.03 0.09 0 0.03 0 0 0.07 0.11 0.05 0.07
PowerOneLocus Additive 2 10 0.0001000 0 0 0 0 0.11 0.19 0.04 0.1 0 0 0 0 0.12 0.2 0.05 0.1 0 0 0 0 0.02 0.03 0.01 0.02 0 0 0 0 0.03 0.09 0.01 0.03 0 0 0 0 0.01 0.02 0.01 0.01
PowerOneLocus Additive 2 10 0.0001500 0 0 0 0 0.05 0.1 0.01 0.03 0 0 0 0 0.06 0.11 0.01 0.03 0 0 0 0 0.02 0.02 0.02 0.02 0 0 0 0 0.01 0.02 0.01 0.01 0 0 0 0 0.01 0.01 0.01 0.01
PowerOneLocus Additive 4 10 0.0000000 0.22 0.34 0.12 0.17 0.74 0.79 0.61 0.69 0.15 0.31 0.08 0.13 0.69 0.79 0.58 0.65 0.23 0.34 0.13 0.18 0.6 0.67 0.53 0.55 0.33 0.36 0.22 0.29 0.59 0.7 0.53 0.54 0.22 0.36 0.13 0.18 0.54 0.61 0.48 0.51
PowerOneLocus Additive 4 10 0.0000500 0 0.07 0 0 0.39 0.51 0.27 0.37 0 0.03 0 0 0.38 0.51 0.23 0.35 0.03 0.08 0 0.02 0.21 0.26 0.18 0.2 0.04 0.07 0 0.02 0.21 0.3 0.15 0.19 0.03 0.08 0 0.02 0.13 0.18 0.12 0.13
PowerOneLocus Additive 4 10 0.0001000 0 0 0 0 0.27 0.33 0.15 0.23 0 0 0 0 0.27 0.33 0.15 0.24 0 0.03 0 0 0.06 0.07 0.05 0.05 0.01 0.03 0 0.01 0.08 0.16 0.06 0.07 0 0.03 0 0 0.05 0.1 0.04 0.05
PowerOneLocus Additive 4 10 0.0001500 0 0 0 0 0.13 0.2 0.04 0.09 0 0 0 0 0.13 0.21 0.04 0.09 0 0 0 0 0.02 0.05 0.02 0.02 0 0 0 0 0.04 0.09 0.02 0.03 0 0 0 0 0.03 0.04 0.02 0.02
PowerOneLocus Additive 6 10 0.0000000 0.34 0.42 0.24 0.31 0.82 0.87 0.77 0.8 0.29 0.38 0.14 0.23 0.82 0.84 0.72 0.8 0.3 0.42 0.19 0.26 0.63 0.71 0.57 0.61 0.41 0.51 0.31 0.37 0.72 0.78 0.63 0.68 0.32 0.45 0.19 0.27 0.6 0.67 0.5 0.54
PowerOneLocus Additive 6 10 0.0000500 0.01 0.08 0 0 0.51 0.64 0.38 0.47 0 0.06 0 0 0.5 0.64 0.38 0.47 0.03 0.1 0.02 0.02 0.17 0.24 0.16 0.17 0.06 0.1 0.01 0.05 0.29 0.39 0.2 0.28 0.03 0.1 0.02 0.02 0.21 0.28 0.13 0.19
PowerOneLocus Additive 6 10 0.0001000 0 0.02 0 0 0.32 0.45 0.24 0.29 0 0.02 0 0 0.34 0.45 0.24 0.31 0.01 0.02 0 0 0.06 0.16 0.05 0.06 0.01 0.05 0 0 0.13 0.27 0.11 0.13 0.01 0.02 0 0 0.08 0.15 0.05 0.07
PowerOneLocus Additive 6 10 0.0001500 0 0 0 0 0.17 0.26 0.1 0.16 0 0 0 0 0.18 0.27 0.1 0.16 0 0.01 0 0 0.06 0.07 0.03 0.04 0 0.01 0 0 0.07 0.1 0.03 0.06 0 0.01 0 0 0.05 0.08 0.03 0.04
PowerOneLocus Additive 8 10 0.0000000 0.36 0.48 0.28 0.33 0.84 0.91 0.81 0.83 0.31 0.45 0.23 0.29 0.84 0.92 0.81 0.83 0.34 0.46 0.22 0.32 0.68 0.73 0.6 0.65 0.46 0.59 0.32 0.41 0.76 0.84 0.73 0.76 0.36 0.49 0.22 0.34 0.68 0.75 0.58 0.64
PowerOneLocus Additive 8 10 0.0000500 0.08 0.14 0.01 0.04 0.56 0.71 0.44 0.52 0.04 0.11 0 0.03 0.58 0.7 0.43 0.54 0.07 0.14 0.03 0.04 0.25 0.32 0.19 0.23 0.09 0.17 0.03 0.07 0.37 0.45 0.28 0.33 0.07 0.14 0.03 0.04 0.24 0.33 0.18 0.22
PowerOneLocus Additive 8 10 0.0001000 0 0.04 0 0 0.34 0.48 0.25 0.32 0 0.03 0 0 0.37 0.49 0.27 0.33 0.02 0.04 0 0.01 0.1 0.17 0.07 0.1 0.01 0.08 0 0.01 0.17 0.28 0.09 0.15 0.02 0.04 0 0.01 0.1 0.17 0.07 0.09
PowerOneLocus Additive 8 10 0.0001500 0 0 0 0 0.2 0.32 0.12 0.18 0 0 0 0 0.2 0.32 0.13 0.18 0 0.02 0 0 0.07 0.1 0.04 0.04 0 0.02 0 0 0.06 0.12 0.03 0.04 0 0.03 0 0 0.06 0.07 0.04 0.05
