MAFSample2 mixProp haplotypeLength Training_mTDT2G_cv5_01 Training_mTDT2G_cv5_05 Training_mTDT2G_cv5_001 Training_mTDT2G_cv5_005 Training_mTDT2G_cv2_01 Training_mTDT2G_cv2_05 Training_mTDT2G_cv2_001 Training_mTDT2G_cv2_005 Training_mTDT2G_cv2_sumOfHalves_01 Training_mTDT2G_cv2_sumOfHalves_05 Training_mTDT2G_cv2_sumOfHalves_001 Training_mTDT2G_cv2_sumOfHalves_005 Training_mTDT1_cv5_01 Training_mTDT1_cv5_05 Training_mTDT1_cv5_001 Training_mTDT1_cv5_005 Training_mTDT1T_cv5_01 Training_mTDT1T_cv5_05 Training_mTDT1T_cv5_001 Training_mTDT1T_cv5_005 Training_mTDT1U_cv5_01 Training_mTDT1U_cv5_05 Training_mTDT1U_cv5_001 Training_mTDT1U_cv5_005 Training_mTDT1_cv2_01 Training_mTDT1_cv2_05 Training_mTDT1_cv2_001 Training_mTDT1_cv2_005 Training_mTDT1T_cv2_01 Training_mTDT1T_cv2_05 Training_mTDT1T_cv2_001 Training_mTDT1T_cv2_005 Training_mTDT1U_cv2_01 Training_mTDT1U_cv2_05 Training_mTDT1U_cv2_001 Training_mTDT1U_cv2_005 Training_mTDT_01 Training_mTDT_05 Training_mTDT_001 Training_mTDT_005 Training_mTDT_minFreq10.00000_01 Training_mTDT_minFreq10.00000_05 Training_mTDT_minFreq10.00000_001 Training_mTDT_minFreq10.00000_005 
0.3 0.75 2 0.006 0.055 0 0.002 0.013 0.049 0.001 0.004 0.009 0.054 0.003 0.005 0.016 0.055 0.001 0.009 0.01 0.054 0.002 0.007 0.01 0.061 0.002 0.007 0.008 0.051 0 0.005 0.009 0.067 0 0.003 0.014 0.068 0.003 0.007 0.011 0.059 0.004 0.009 0.011 0.059 0.004 0.009
0.5 0.75 2 0.01 0.052 0 0.006 0.015 0.042 0.002 0.008 0.008 0.046 0 0.002 0.007 0.041 0.001 0.005 0.011 0.054 0.002 0.006 0.003 0.036 0 0 0.011 0.06 0.002 0.008 0.01 0.055 0 0.003 0.017 0.072 0.001 0.008 0.017 0.051 0.001 0.009 0.017 0.052 0.001 0.01
0.1 0.833 2 0.004 0.051 0 0.003 0.013 0.05 0.002 0.006 0.004 0.047 0.001 0.002 0.005 0.052 0 0.002 0.005 0.051 0 0.001 0.012 0.062 0.001 0.006 0.009 0.053 0 0.002 0.007 0.055 0.002 0.005 0.01 0.05 0.001 0.006 0.015 0.057 0.001 0.007 0.015 0.056 0.002 0.007
0.3 0.833 2 0.009 0.058 0 0.006 0.011 0.055 0.002 0.005 0.008 0.061 0 0.003 0.004 0.049 0 0 0.008 0.051 0.001 0.004 0.005 0.048 0.001 0.003 0.009 0.054 0 0.004 0.007 0.043 0 0.003 0.009 0.063 0.003 0.006 0.014 0.057 0.001 0.007 0.014 0.057 0.002 0.007
0.5 0.833 2 0.011 0.046 0 0.005 0.014 0.049 0 0.004 0.012 0.054 0 0.006 0.007 0.047 0 0.003 0.011 0.056 0 0.003 0.006 0.041 0 0.003 0.014 0.063 0.001 0.006 0.007 0.051 0.002 0.003 0.009 0.048 0 0.005 0.012 0.052 0.001 0.007 0.012 0.051 0.001 0.007
0.1 0.5 4 0.008 0.048 0.001 0.002 0.01 0.052 0.001 0.005 0.018 0.072 0 0.007 0.015 0.056 0 0.008 0.012 0.05 0.002 0.006 0.01 0.049 0.001 0.003 0.008 0.056 0.001 0.005 0.008 0.046 0.001 0.003 0.009 0.043 0 0.001 0.015 0.057 0 0.006 0.016 0.063 0 0.008
0.3 0.5 4 0.012 0.048 0 0.004 0.009 0.056 0 0.003 0.012 0.074 0 0.005 0.003 0.06 0.001 0.003 0.008 0.049 0 0.004 0.009 0.048 0 0.004 0.011 0.048 0.001 0.003 0.009 0.046 0.001 0.005 0.009 0.055 0 0.004 0.017 0.057 0 0.007 0.015 0.059 0 0.009
0.5 0.5 4 0.014 0.056 0 0.01 0.011 0.045 0.001 0.006 0.029 0.082 0.002 0.014 0.01 0.038 0.001 0.004 0.008 0.041 0.001 0.002 0.01 0.064 0.001 0.005 0.012 0.053 0.001 0.005 0.008 0.058 0 0.004 0.009 0.054 0 0.003 0.012 0.045 0.001 0.007 0.013 0.05 0.002 0.01
0.1 0.75 4 0.01 0.052 0.002 0.004 0.006 0.044 0.002 0.003 0.019 0.069 0.004 0.014 0.009 0.051 0.003 0.005 0.016 0.054 0.002 0.006 0.006 0.044 0.001 0.003 0.011 0.049 0.001 0.005 0.013 0.055 0 0.005 0.005 0.04 0 0.003 0.016 0.059 0.003 0.005 0.016 0.058 0.003 0.005
0.3 0.75 4 0.01 0.044 0.002 0.007 0.007 0.052 0.002 0.005 0.021 0.084 0.005 0.014 0.012 0.054 0.001 0.004 0.01 0.049 0 0.004 0.01 0.054 0.001 0.007 0.01 0.049 0.001 0.006 0.017 0.061 0.002 0.008 0.003 0.038 0 0 0.015 0.059 0.002 0.007 0.017 0.062 0.002 0.008
