MAFSample2 mixProp haplotypeLength Training_mTDT_01 Training_mTDT_05 Training_mTDT_001 Training_mTDT_005 Training_mTDT_minFreq10.00000_01 Training_mTDT_minFreq10.00000_05 Training_mTDT_minFreq10.00000_001 Training_mTDT_minFreq10.00000_005 Training_mTDT2G_cv5_01 Training_mTDT2G_cv5_05 Training_mTDT2G_cv5_001 Training_mTDT2G_cv5_005 Training_mTDT2G_cv5_minFreq10.00000_01 Training_mTDT2G_cv5_minFreq10.00000_05 Training_mTDT2G_cv5_minFreq10.00000_001 Training_mTDT2G_cv5_minFreq10.00000_005 Training_mTDT1_cv5_01 Training_mTDT1_cv5_05 Training_mTDT1_cv5_001 Training_mTDT1_cv5_005 Training_mTDT1_cv5_minFreq10.00000_01 Training_mTDT1_cv5_minFreq10.00000_05 Training_mTDT1_cv5_minFreq10.00000_001 Training_mTDT1_cv5_minFreq10.00000_005 Training_mTDT1T_cv5_01 Training_mTDT1T_cv5_05 Training_mTDT1T_cv5_001 Training_mTDT1T_cv5_005 Training_mTDT1T_cv5_minFreq10.00000_01 Training_mTDT1T_cv5_minFreq10.00000_05 Training_mTDT1T_cv5_minFreq10.00000_001 Training_mTDT1T_cv5_minFreq10.00000_005 Training_mTDT1U_cv5_01 Training_mTDT1U_cv5_05 Training_mTDT1U_cv5_001 Training_mTDT1U_cv5_005 Training_mTDT1U_cv5_minFreq10.00000_01 Training_mTDT1U_cv5_minFreq10.00000_05 Training_mTDT1U_cv5_minFreq10.00000_001 Training_mTDT1U_cv5_minFreq10.00000_005 Training_mTDT2G_cv2_01 Training_mTDT2G_cv2_05 Training_mTDT2G_cv2_001 Training_mTDT2G_cv2_005 Training_mTDT2G_cv2_minFreq10.00000_01 Training_mTDT2G_cv2_minFreq10.00000_05 Training_mTDT2G_cv2_minFreq10.00000_001 Training_mTDT2G_cv2_minFreq10.00000_005 Training_mTDT1_cv2_01 Training_mTDT1_cv2_05 Training_mTDT1_cv2_001 Training_mTDT1_cv2_005 Training_mTDT1_cv2_minFreq10.00000_01 Training_mTDT1_cv2_minFreq10.00000_05 Training_mTDT1_cv2_minFreq10.00000_001 Training_mTDT1_cv2_minFreq10.00000_005 Training_mTDT1T_cv2_01 Training_mTDT1T_cv2_05 Training_mTDT1T_cv2_001 Training_mTDT1T_cv2_005 Training_mTDT1T_cv2_minFreq10.00000_01 Training_mTDT1T_cv2_minFreq10.00000_05 Training_mTDT1T_cv2_minFreq10.00000_001 Training_mTDT1T_cv2_minFreq10.00000_005 Training_mTDT1U_cv2_01 Training_mTDT1U_cv2_05 Training_mTDT1U_cv2_001 Training_mTDT1U_cv2_005 Training_mTDT1U_cv2_minFreq10.00000_01 Training_mTDT1U_cv2_minFreq10.00000_05 Training_mTDT1U_cv2_minFreq10.00000_001 Training_mTDT1U_cv2_minFreq10.00000_005 
0.1 0.75 6 0.012 0.057 0.004 0.007 0.01 0.065 0.004 0.006 0.018 0.068 0.005 0.011 0.064 0.174 0.015 0.038 0.058 0.139 0.007 0.034 0.053 0.143 0.008 0.034 0.056 0.182 0.005 0.032 0.065 0.186 0.006 0.036 0.05 0.161 0.006 0.028 0.044 0.172 0.006 0.029 0.014 0.062 0.003 0.01 0.039 0.119 0.005 0.023 0.02 0.048 0.003 0.013 0.02 0.055 0.003 0.014 0.038 0.1 0.003 0.018 0.039 0.11 0.003 0.019 0.025 0.095 0.002 0.011 0.021 0.088 0.003 0.01
0.3 0.75 6 0.014 0.058 0.002 0.007 0.014 0.071 0.002 0.008 0.017 0.058 0.004 0.011 0.067 0.176 0.014 0.039 0.057 0.143 0.006 0.031 0.054 0.148 0.006 0.031 0.063 0.181 0.006 0.034 0.075 0.189 0.007 0.044 0.046 0.165 0.007 0.027 0.047 0.168 0.007 0.03 0.022 0.065 0.005 0.013 0.042 0.118 0.007 0.023 0.021 0.053 0.004 0.012 0.022 0.059 0.003 0.015 0.042 0.105 0.002 0.02 0.043 0.107 0.001 0.023 0.02 0.1 0.002 0.011 0.017 0.097 0.003 0.011
0.5 0.75 6 0.013 0.057 0 0.007 0.014 0.061 0.001 0.011 0.016 0.064 0.002 0.011 0.072 0.163 0.017 0.044 0.057 0.152 0.01 0.035 0.053 0.151 0.008 0.035 0.074 0.202 0.008 0.044 0.073 0.193 0.008 0.042 0.046 0.153 0.005 0.026 0.047 0.164 0.007 0.027 0.016 0.075 0.003 0.008 0.035 0.135 0.004 0.018 0.028 0.048 0.005 0.021 0.029 0.06 0.004 0.017 0.046 0.115 0.005 0.027 0.046 0.115 0.004 0.025 0.024 0.082 0.004 0.013 0.026 0.092 0.005 0.014
0.1 0.833 6 0.01 0.047 0.003 0.006 0.009 0.05 0.002 0.008 0.014 0.06 0.004 0.008 0.061 0.167 0.012 0.034 0.057 0.152 0.01 0.034 0.051 0.152 0.01 0.03 0.055 0.176 0.009 0.03 0.057 0.182 0.011 0.031 0.044 0.165 0.006 0.024 0.048 0.154 0.005 0.025 0.016 0.065 0.004 0.012 0.033 0.118 0.007 0.02 0.019 0.048 0.005 0.012 0.017 0.056 0.005 0.011 0.03 0.089 0.004 0.017 0.025 0.102 0.003 0.014 0.018 0.093 0.002 0.01 0.019 0.085 0.002 0.011
0.3 0.833 6 0.011 0.053 0.004 0.007 0.01 0.056 0.003 0.008 0.016 0.063 0.003 0.007 0.062 0.16 0.009 0.04 0.061 0.159 0.008 0.033 0.058 0.162 0.011 0.032 0.063 0.178 0.006 0.032 0.065 0.18 0.008 0.032 0.05 0.167 0.008 0.028 0.049 0.159 0.009 0.026 0.019 0.062 0.003 0.012 0.037 0.12 0.006 0.019 0.022 0.05 0.003 0.014 0.017 0.057 0.003 0.011 0.037 0.094 0.004 0.019 0.031 0.102 0.003 0.016 0.02 0.09 0.003 0.01 0.021 0.081 0.005 0.011
0.5 0.833 6 0.011 0.056 0.002 0.004 0.012 0.067 0.001 0.006 0.017 0.051 0.003 0.007 0.067 0.172 0.012 0.036 0.059 0.149 0.008 0.035 0.054 0.151 0.006 0.029 0.062 0.193 0.006 0.036 0.063 0.203 0.006 0.032 0.05 0.171 0.006 0.028 0.05 0.165 0.006 0.028 0.019 0.062 0.003 0.007 0.039 0.125 0.004 0.018 0.023 0.053 0.005 0.015 0.019 0.062 0.004 0.01 0.035 0.091 0.003 0.019 0.03 0.113 0.002 0.013 0.026 0.097 0.002 0.014 0.022 0.088 0.002 0.013
0.1 0.5 8 0.007 0.055 0 0.004 0.008 0.055 0 0.005 0.018 0.072 0.003 0.013 0.059 0.165 0.015 0.034 0.065 0.162 0.008 0.039 0.058 0.152 0.008 0.035 0.057 0.187 0.007 0.033 0.054 0.198 0.005 0.036 0.048 0.173 0.006 0.028 0.052 0.178 0.006 0.028 0.018 0.072 0.003 0.009 0.031 0.115 0.005 0.016 0.03 0.06 0.006 0.016 0.03 0.071 0.005 0.016 0.035 0.108 0.005 0.021 0.027 0.104 0.007 0.02 0.031 0.089 0.006 0.017 0.036 0.103 0.005 0.015
0.3 0.5 8 0.009 0.044 0.001 0.004 0.01 0.049 0 0.007 0.022 0.062 0.002 0.011 0.058 0.168 0.017 0.035 0.063 0.173 0.008 0.038 0.056 0.161 0.008 0.037 0.06 0.189 0.008 0.036 0.051 0.198 0.005 0.031 0.051 0.181 0.003 0.029 0.046 0.181 0.005 0.022 0.016 0.067 0.002 0.011 0.027 0.121 0.002 0.015 0.027 0.059 0.006 0.018 0.028 0.065 0.006 0.018 0.033 0.103 0.005 0.021 0.027 0.106 0.007 0.018 0.033 0.089 0.005 0.02 0.034 0.105 0.004 0.022
0.5 0.5 8 0.011 0.045 0 0.003 0.014 0.051 0 0.005 0.012 0.05 0.001 0.005 0.058 0.15 0.005 0.03 0.071 0.145 0.011 0.049 0.064 0.144 0.012 0.043 0.06 0.153 0.003 0.036 0.058 0.167 0.004 0.032 0.054 0.18 0.009 0.038 0.062 0.189 0.009 0.044 0.019 0.073 0.004 0.013 0.046 0.131 0.006 0.027 0.028 0.048 0.006 0.016 0.024 0.056 0.007 0.019 0.039 0.098 0.003 0.024 0.033 0.099 0.005 0.022 0.035 0.084 0.005 0.023 0.031 0.096 0.004 0.022
0.1 0.75 8 0.015 0.047 0.002 0.01 0.016 0.061 0.002 0.013 0.015 0.074 0.002 0.01 0.071 0.175 0.014 0.041 0.056 0.143 0.012 0.039 0.055 0.145 0.012 0.038 0.058 0.181 0.012 0.036 0.053 0.189 0.011 0.035 0.052 0.172 0.007 0.032 0.049 0.175 0.009 0.027 0.017 0.063 0.004 0.01 0.03 0.118 0.006 0.015 0.021 0.054 0.005 0.016 0.022 0.056 0.006 0.015 0.033 0.117 0.005 0.018 0.033 0.119 0.006 0.02 0.026 0.082 0.005 0.014 0.026 0.089 0.004 0.011
0.3 0.75 8 0.015 0.053 0.002 0.011 0.02 0.066 0.003 0.011 0.02 0.062 0.005 0.011 0.075 0.161 0.017 0.052 0.06 0.136 0.009 0.039 0.056 0.14 0.01 0.038 0.062 0.176 0.01 0.037 0.059 0.185 0.008 0.036 0.047 0.167 0.008 0.03 0.048 0.176 0.008 0.031 0.02 0.059 0.003 0.011 0.04 0.128 0.006 0.02 0.02 0.046 0.005 0.014 0.022 0.05 0.006 0.018 0.035 0.102 0.003 0.017 0.032 0.109 0.002 0.016 0.023 0.083 0.004 0.013 0.021 0.087 0.004 0.012
0.5 0.75 8 0.015 0.051 0.003 0.007 0.016 0.066 0.002 0.011 0.017 0.071 0.004 0.007 0.078 0.178 0.019 0.048 0.061 0.136 0.01 0.043 0.066 0.154 0.013 0.043 0.056 0.182 0.01 0.041 0.062 0.199 0.011 0.041 0.059 0.157 0.006 0.037 0.058 0.167 0.009 0.034 0.014 0.064 0.005 0.009 0.033 0.128 0.007 0.018 0.019 0.039 0.005 0.016 0.021 0.048 0.007 0.016 0.035 0.096 0.006 0.025 0.037 0.109 0.005 0.023 0.024 0.073 0.005 0.018 0.027 0.092 0.007 0.017
0.1 0.833 8 0.011 0.044 0.001 0.009 0.013 0.057 0.002 0.008 0.018 0.049 0.004 0.008 0.066 0.166 0.016 0.035 0.064 0.156 0.008 0.038 0.056 0.154 0.01 0.032 0.058 0.167 0.008 0.035 0.058 0.176 0.01 0.035 0.047 0.176 0.005 0.028 0.05 0.174 0.007 0.028 0.015 0.065 0.004 0.009 0.04 0.118 0.007 0.022 0.019 0.038 0.005 0.014 0.02 0.045 0.006 0.016 0.032 0.096 0.005 0.018 0.033 0.105 0.004 0.02 0.022 0.087 0.003 0.012 0.022 0.084 0.004 0.012
0.3 0.833 8 0.014 0.051 0.001 0.009 0.018 0.063 0.001 0.009 0.016 0.062 0.005 0.01 0.062 0.169 0.013 0.041 0.067 0.161 0.009 0.04 0.059 0.16 0.011 0.036 0.057 0.168 0.006 0.039 0.059 0.169 0.008 0.038 0.044 0.186 0.008 0.025 0.051 0.172 0.008 0.033 0.018 0.063 0.002 0.01 0.033 0.116 0.006 0.016 0.023 0.043 0.004 0.017 0.025 0.05 0.004 0.018 0.033 0.094 0.005 0.021 0.031 0.094 0.005 0.02 0.023 0.085 0.004 0.013 0.025 0.093 0.005 0.013
0.5 0.833 8 0.01 0.058 0.002 0.008 0.017 0.074 0.003 0.011 0.014 0.056 0.001 0.009 0.058 0.172 0.014 0.04 0.065 0.142 0.009 0.041 0.065 0.154 0.011 0.036 0.055 0.168 0.004 0.029 0.05 0.186 0.006 0.027 0.056 0.175 0.006 0.033 0.059 0.169 0.01 0.036 0.017 0.064 0.001 0.005 0.035 0.123 0.005 0.018 0.024 0.047 0.004 0.018 0.023 0.057 0.005 0.017 0.031 0.078 0.003 0.019 0.033 0.086 0.003 0.018 0.028 0.089 0.004 0.018 0.025 0.089 0.005 0.017
0.1 0.5 10 0.004 0.044 0 0 0.006 0.056 0 0.004 0.017 0.061 0.003 0.008 0.057 0.161 0.009 0.031 0.065 0.157 0.006 0.043 0.056 0.142 0.007 0.032 0.062 0.191 0.003 0.033 0.059 0.199 0.005 0.03 0.056 0.176 0.003 0.033 0.052 0.175 0.005 0.034 0.016 0.066 0.001 0.007 0.033 0.121 0.002 0.02 0.025 0.06 0.005 0.013 0.033 0.08 0.005 0.016 0.038 0.115 0.003 0.023 0.034 0.115 0.004 0.017 0.032 0.082 0.006 0.014 0.035 0.099 0.005 0.018
0.3 0.5 10 0.006 0.036 0 0.003 0.008 0.053 0.001 0.004 0.017 0.057 0.001 0.01 0.061 0.166 0.015 0.038 0.071 0.172 0.004 0.044 0.062 0.153 0.007 0.038 0.065 0.188 0.004 0.038 0.063 0.188 0.007 0.029 0.049 0.18 0.002 0.028 0.045 0.181 0.004 0.025 0.009 0.065 0.003 0.004 0.03 0.118 0.003 0.016 0.022 0.059 0.005 0.011 0.028 0.074 0.004 0.016 0.034 0.102 0.004 0.02 0.033 0.109 0.005 0.019 0.03 0.09 0.005 0.018 0.033 0.103 0.005 0.021
0.5 0.5 10 0.002 0.03 0 0.001 0.004 0.048 0 0.003 0.011 0.056 0.003 0.008 0.05 0.136 0.011 0.034 0.064 0.152 0.01 0.046 0.059 0.147 0.011 0.045 0.064 0.167 0.004 0.035 0.064 0.179 0.005 0.035 0.062 0.178 0.009 0.045 0.061 0.184 0.01 0.042 0.014 0.064 0.004 0.008 0.035 0.137 0.005 0.018 0.026 0.049 0.005 0.016 0.026 0.063 0.006 0.018 0.041 0.091 0.003 0.023 0.038 0.111 0.004 0.022 0.034 0.086 0.005 0.021 0.034 0.099 0.002 0.019
0.1 0.75 10 0.015 0.04 0.001 0.005 0.015 0.055 0.001 0.009 0.017 0.074 0.003 0.013 0.07 0.184 0.012 0.041 0.066 0.15 0.016 0.045 0.065 0.151 0.017 0.044 0.06 0.174 0.014 0.037 0.056 0.18 0.013 0.032 0.058 0.171 0.009 0.031 0.053 0.181 0.008 0.027 0.015 0.067 0.005 0.009 0.036 0.121 0.009 0.021 0.027 0.052 0.008 0.021 0.029 0.061 0.007 0.02 0.031 0.093 0.006 0.021 0.031 0.1 0.007 0.019 0.026 0.077 0.006 0.015 0.024 0.092 0.004 0.011
0.3 0.75 10 0.016 0.043 0 0.008 0.015 0.058 0 0.008 0.016 0.068 0.003 0.009 0.059 0.174 0.015 0.042 0.063 0.141 0.013 0.046 0.063 0.141 0.013 0.043 0.061 0.169 0.012 0.037 0.057 0.171 0.01 0.033 0.055 0.162 0.007 0.027 0.053 0.164 0.007 0.027 0.018 0.063 0.003 0.01 0.035 0.126 0.007 0.022 0.022 0.045 0.007 0.017 0.023 0.052 0.005 0.018 0.032 0.086 0.005 0.018 0.031 0.097 0.004 0.017 0.023 0.075 0.006 0.013 0.023 0.088 0.005 0.013
0.5 0.75 10 0.01 0.042 0.002 0.006 0.011 0.062 0.001 0.008 0.015 0.067 0.004 0.009 0.065 0.172 0.014 0.042 0.058 0.122 0.012 0.043 0.067 0.144 0.012 0.044 0.061 0.159 0.014 0.047 0.067 0.166 0.013 0.045 0.057 0.155 0.007 0.03 0.057 0.173 0.009 0.029 0.018 0.067 0.004 0.013 0.042 0.109 0.008 0.022 0.016 0.034 0.005 0.013 0.019 0.041 0.007 0.014 0.037 0.083 0.006 0.025 0.04 0.1 0.005 0.023 0.026 0.066 0.006 0.015 0.029 0.079 0.006 0.016
0.1 0.833 10 0.014 0.043 0.001 0.005 0.016 0.055 0.001 0.009 0.016 0.07 0.002 0.012 0.061 0.157 0.016 0.04 0.065 0.155 0.011 0.041 0.06 0.154 0.012 0.037 0.056 0.178 0.009 0.031 0.058 0.174 0.009 0.035 0.056 0.175 0.005 0.032 0.056 0.178 0.006 0.032 0.019 0.066 0.007 0.014 0.039 0.115 0.013 0.026 0.019 0.035 0.007 0.015 0.02 0.048 0.008 0.017 0.029 0.086 0.007 0.018 0.023 0.104 0.007 0.017 0.025 0.075 0.003 0.015 0.021 0.086 0.005 0.013
0.3 0.833 10 0.013 0.047 0.001 0.006 0.017 0.062 0.001 0.009 0.013 0.065 0.002 0.01 0.059 0.146 0.011 0.036 0.062 0.154 0.01 0.04 0.058 0.162 0.012 0.04 0.06 0.173 0.009 0.036 0.058 0.162 0.008 0.037 0.055 0.181 0.008 0.034 0.054 0.178 0.007 0.034 0.021 0.061 0.004 0.017 0.038 0.112 0.011 0.022 0.019 0.038 0.005 0.015 0.02 0.049 0.005 0.016 0.03 0.09 0.007 0.022 0.024 0.092 0.005 0.018 0.027 0.083 0.005 0.02 0.022 0.092 0.006 0.013
0.5 0.833 10 0.009 0.047 0.001 0.002 0.014 0.072 0.001 0.008 0.023 0.067 0.004 0.012 0.047 0.149 0.014 0.038 0.071 0.148 0.01 0.049 0.074 0.153 0.012 0.045 0.06 0.163 0.009 0.037 0.055 0.172 0.008 0.033 0.066 0.174 0.007 0.041 0.067 0.172 0.009 0.042 0.024 0.063 0.002 0.013 0.032 0.107 0.007 0.023 0.021 0.036 0.006 0.02 0.021 0.051 0.004 0.017 0.025 0.071 0.005 0.017 0.021 0.068 0.002 0.014 0.039 0.086 0.004 0.027 0.034 0.095 0.007 0.022
