test model relativeRisk haplotypeLength recFrac Training_mTDT2G_cv2_useDistances_01 Training_mTDT2G_cv2_useDistances_05 Training_mTDT2G_cv2_useDistances_001 Training_mTDT2G_cv2_useDistances_005 Training_ScoreTDT_01 Training_ScoreTDT_05 Training_ScoreTDT_001 Training_ScoreTDT_005 Training_mTDT_01 Training_mTDT_05 Training_mTDT_001 Training_mTDT_005 Training_mTDT2G_cv5_useDistances_01 Training_mTDT2G_cv5_useDistances_05 Training_mTDT2G_cv5_useDistances_001 Training_mTDT2G_cv5_useDistances_005 
PowerTwoLoci Modified 2.4 1 0.0001500 0.04 0.12 0.01 0.03 0.06 0.15 0 0.04 0.06 0.15 0 0.04 0.02 0.05 0 0.01
PowerTwoLoci Modified 2.4 1 0.0002000 0.07 0.12 0.04 0.05 0.09 0.17 0.04 0.07 0.09 0.17 0.04 0.07 0.05 0.08 0.03 0.04
PowerTwoLoci Modified 2.6 1 0.0000000 0.29 0.36 0.22 0.27 0.31 0.42 0.23 0.28 0.31 0.42 0.23 0.28 0.24 0.32 0.18 0.23
PowerTwoLoci Modified 2.6 1 0.0000500 0.19 0.24 0.1 0.14 0.21 0.32 0.11 0.18 0.21 0.32 0.11 0.18 0.13 0.23 0.07 0.12
PowerTwoLoci Modified 2.6 1 0.0001000 0.03 0.1 0.01 0.02 0.05 0.1 0.02 0.03 0.05 0.1 0.02 0.03 0.03 0.05 0.01 0.02
PowerTwoLoci Modified 2.6 1 0.0001500 0.05 0.11 0.02 0.04 0.06 0.17 0.01 0.04 0.06 0.17 0.01 0.04 0.02 0.09 0 0.02
PowerTwoLoci Modified 2.6 1 0.0002000 0.08 0.14 0.06 0.07 0.09 0.18 0.06 0.07 0.09 0.18 0.06 0.07 0.1 0.14 0.04 0.06
PowerTwoLoci Additive 1.2 2 0.0000000 0.33 0.42 0.24 0.33 0.35 0.48 0.29 0.34 0.4 0.51 0.33 0.39 0.29 0.36 0.19 0.25
PowerTwoLoci Additive 1.2 2 0.0000500 0.17 0.29 0.11 0.16 0.22 0.33 0.09 0.19 0.26 0.35 0.16 0.2 0.15 0.26 0.07 0.13
PowerTwoLoci Additive 1.2 2 0.0001000 0.06 0.13 0.02 0.03 0.03 0.14 0.03 0.03 0.08 0.16 0.03 0.04 0.02 0.08 0 0.02
PowerTwoLoci Additive 1.2 2 0.0001500 0.03 0.08 0.02 0.02 0.06 0.15 0.01 0.02 0.03 0.15 0.01 0.03 0.04 0.08 0.02 0.04
PowerTwoLoci Additive 1.2 2 0.0002000 0.05 0.12 0.04 0.05 0.05 0.15 0.04 0.05 0.09 0.16 0.04 0.06 0.07 0.13 0.05 0.07
PowerTwoLoci Additive 1.6 2 0.0000000 0.38 0.49 0.26 0.31 0.4 0.51 0.29 0.35 0.44 0.55 0.33 0.41 0.29 0.41 0.2 0.27
PowerTwoLoci Additive 1.6 2 0.0000500 0.21 0.32 0.15 0.18 0.25 0.33 0.15 0.23 0.29 0.36 0.19 0.23 0.19 0.25 0.11 0.15
PowerTwoLoci Additive 1.6 2 0.0001000 0.05 0.13 0.01 0.03 0.07 0.18 0.03 0.06 0.1 0.17 0.05 0.09 0.04 0.11 0.01 0.02
PowerTwoLoci Additive 1.6 2 0.0001500 0.03 0.09 0 0.03 0.05 0.16 0.01 0.04 0.06 0.17 0.01 0.03 0.03 0.11 0 0.02
PowerTwoLoci Additive 1.6 2 0.0002000 0.07 0.12 0.04 0.04 0.08 0.15 0.04 0.06 0.08 0.13 0.05 0.08 0.05 0.1 0.03 0.05
PowerTwoLoci Additive 2.0 2 0.0000000 0.39 0.5 0.28 0.34 0.44 0.52 0.31 0.38 0.45 0.55 0.35 0.41 0.34 0.46 0.23 0.3
PowerTwoLoci Additive 2.0 2 0.0000500 0.23 0.33 0.16 0.21 0.27 0.36 0.17 0.24 0.31 0.4 0.21 0.25 0.2 0.29 0.14 0.18
PowerTwoLoci Additive 2.0 2 0.0001000 0.07 0.15 0.02 0.05 0.09 0.18 0.04 0.08 0.09 0.2 0.07 0.08 0.04 0.12 0.02 0.02
PowerTwoLoci Additive 2.0 2 0.0001500 0.03 0.09 0.01 0.03 0.11 0.2 0.02 0.06 0.09 0.19 0.02 0.03 0.01 0.11 0.01 0.01
PowerTwoLoci Additive 2.0 2 0.0002000 0.07 0.12 0.04 0.07 0.08 0.19 0.05 0.06 0.08 0.16 0.05 0.07 0.07 0.12 0.03 0.06
PowerTwoLoci Additive 2.4 2 0.0000000 0.42 0.5 0.34 0.39 0.45 0.53 0.35 0.41 0.47 0.57 0.36 0.44 0.38 0.45 0.29 0.36
PowerTwoLoci Additive 2.4 2 0.0000500 0.27 0.36 0.18 0.24 0.28 0.38 0.2 0.26 0.32 0.41 0.24 0.29 0.22 0.33 0.18 0.2
PowerTwoLoci Additive 2.4 2 0.0001000 0.07 0.17 0.02 0.06 0.13 0.21 0.05 0.1 0.14 0.22 0.07 0.11 0.04 0.14 0.02 0.03
PowerTwoLoci Additive 2.4 2 0.0001500 0.06 0.14 0.02 0.03 0.1 0.21 0.02 0.05 0.08 0.19 0.02 0.03 0.04 0.1 0 0.03
PowerTwoLoci Additive 2.4 2 0.0002000 0.08 0.15 0.05 0.06 0.11 0.18 0.05 0.08 0.09 0.17 0.05 0.07 0.05 0.09 0.02 0.03
PowerTwoLoci Additive 2.6 2 0.0000000 0.42 0.49 0.34 0.38 0.45 0.53 0.36 0.4 0.47 0.57 0.37 0.45 0.4 0.51 0.32 0.38
PowerTwoLoci Additive 2.6 2 0.0000500 0.29 0.34 0.24 0.27 0.32 0.42 0.23 0.29 0.35 0.44 0.27 0.32 0.26 0.36 0.22 0.25
PowerTwoLoci Additive 2.6 2 0.0001000 0.08 0.22 0.03 0.04 0.13 0.21 0.04 0.1 0.15 0.22 0.08 0.11 0.05 0.12 0.02 0.03
PowerTwoLoci Additive 2.6 2 0.0001500 0.04 0.14 0.01 0.02 0.1 0.2 0.01 0.07 0.09 0.2 0.01 0.05 0.05 0.11 0.01 0.03
PowerTwoLoci Additive 2.6 2 0.0002000 0.07 0.13 0.05 0.06 0.11 0.17 0.06 0.08 0.09 0.18 0.06 0.08 0.07 0.15 0.03 0.06
PowerTwoLoci DomOrDom 1.2 2 0.0000000 0.31 0.39 0.26 0.29 0.35 0.44 0.3 0.31 0.39 0.47 0.3 0.35 0.28 0.36 0.21 0.26
PowerTwoLoci DomOrDom 1.2 2 0.0000500 0.15 0.28 0.09 0.13 0.16 0.27 0.08 0.13 0.18 0.31 0.11 0.16 0.12 0.21 0.05 0.1
PowerTwoLoci DomOrDom 1.2 2 0.0001000 0.04 0.11 0.02 0.03 0.03 0.11 0.02 0.03 0.06 0.15 0.02 0.05 0.02 0.07 0 0.01
PowerTwoLoci DomOrDom 1.2 2 0.0001500 0.02 0.1 0.01 0.02 0.04 0.18 0.01 0.03 0.05 0.15 0.02 0.04 0.04 0.1 0 0.03
PowerTwoLoci DomOrDom 1.2 2 0.0002000 0.06 0.13 0.03 0.06 0.06 0.15 0.04 0.04 0.07 0.17 0.05 0.07 0.05 0.13 0.04 0.04
PowerTwoLoci DomOrDom 1.6 2 0.0000000 0.41 0.5 0.26 0.36 0.44 0.52 0.28 0.37 0.45 0.53 0.33 0.42 0.3 0.45 0.2 0.28
PowerTwoLoci DomOrDom 1.6 2 0.0000500 0.22 0.31 0.16 0.21 0.24 0.33 0.16 0.24 0.26 0.36 0.2 0.24 0.2 0.31 0.12 0.14
PowerTwoLoci DomOrDom 1.6 2 0.0001000 0.07 0.13 0.01 0.05 0.09 0.19 0.02 0.07 0.11 0.18 0.05 0.09 0.02 0.08 0.01 0.02
PowerTwoLoci DomOrDom 1.6 2 0.0001500 0.05 0.12 0.02 0.03 0.05 0.17 0.01 0.03 0.04 0.16 0.02 0.04 0.06 0.15 0.02 0.02
PowerTwoLoci DomOrDom 1.6 2 0.0002000 0.07 0.11 0.04 0.05 0.09 0.18 0.04 0.07 0.08 0.16 0.05 0.07 0.05 0.11 0.03 0.04
PowerTwoLoci DomOrDom 2.0 2 0.0000000 0.44 0.54 0.32 0.37 0.42 0.55 0.32 0.4 0.47 0.56 0.37 0.41 0.4 0.48 0.29 0.35
PowerTwoLoci DomOrDom 2.0 2 0.0000500 0.29 0.37 0.19 0.26 0.29 0.41 0.2 0.28 0.32 0.41 0.23 0.31 0.21 0.34 0.16 0.2
PowerTwoLoci DomOrDom 2.0 2 0.0001000 0.08 0.17 0.05 0.06 0.13 0.17 0.04 0.1 0.12 0.2 0.07 0.12 0.07 0.11 0.04 0.05
PowerTwoLoci DomOrDom 2.0 2 0.0001500 0.05 0.13 0.02 0.04 0.09 0.2 0.01 0.03 0.07 0.2 0.01 0.01 0.04 0.08 0 0.01
PowerTwoLoci DomOrDom 2.0 2 0.0002000 0.11 0.15 0.05 0.07 0.1 0.17 0.06 0.1 0.09 0.17 0.06 0.08 0.04 0.08 0.03 0.04
PowerTwoLoci DomOrDom 2.4 2 0.0000000 0.44 0.5 0.32 0.38 0.44 0.52 0.38 0.42 0.48 0.56 0.37 0.45 0.39 0.49 0.33 0.37
PowerTwoLoci DomOrDom 2.4 2 0.0000500 0.31 0.42 0.24 0.3 0.34 0.45 0.24 0.27 0.38 0.46 0.27 0.34 0.26 0.39 0.19 0.23
PowerTwoLoci DomOrDom 2.4 2 0.0001000 0.11 0.17 0.06 0.08 0.12 0.22 0.08 0.11 0.14 0.21 0.1 0.12 0.08 0.14 0.03 0.06
PowerTwoLoci DomOrDom 2.4 2 0.0001500 0.05 0.12 0.01 0.03 0.11 0.26 0.01 0.06 0.08 0.27 0.02 0.05 0.07 0.12 0 0.04
PowerTwoLoci DomOrDom 2.4 2 0.0002000 0.07 0.17 0.05 0.06 0.11 0.2 0.07 0.07 0.13 0.2 0.06 0.08 0.09 0.15 0.05 0.06
PowerTwoLoci DomOrDom 2.6 2 0.0000000 0.45 0.53 0.35 0.4 0.47 0.55 0.36 0.42 0.49 0.56 0.39 0.47 0.36 0.49 0.31 0.35
PowerTwoLoci DomOrDom 2.6 2 0.0000500 0.32 0.41 0.25 0.3 0.36 0.45 0.26 0.32 0.41 0.46 0.3 0.37 0.3 0.35 0.19 0.25
PowerTwoLoci DomOrDom 2.6 2 0.0001000 0.09 0.17 0.04 0.09 0.12 0.22 0.08 0.1 0.14 0.21 0.09 0.14 0.1 0.15 0.06 0.08
PowerTwoLoci DomOrDom 2.6 2 0.0001500 0.05 0.1 0.01 0.04 0.1 0.24 0.01 0.07 0.09 0.26 0.05 0.06 0.04 0.11 0.01 0.01
PowerTwoLoci DomOrDom 2.6 2 0.0002000 0.1 0.19 0.06 0.07 0.11 0.23 0.07 0.1 0.12 0.22 0.06 0.07 0.06 0.14 0.04 0.05
PowerTwoLoci DomAndDom 1.2 2 0.0000000 0.31 0.39 0.26 0.29 0.35 0.44 0.3 0.31 0.39 0.47 0.3 0.35 0.28 0.36 0.21 0.26
PowerTwoLoci DomAndDom 1.2 2 0.0000500 0.16 0.29 0.09 0.14 0.16 0.27 0.08 0.13 0.18 0.31 0.11 0.16 0.12 0.22 0.05 0.1
PowerTwoLoci DomAndDom 1.2 2 0.0001000 0.04 0.11 0.02 0.03 0.03 0.11 0.02 0.03 0.06 0.15 0.02 0.05 0.02 0.07 0 0.01
PowerTwoLoci DomAndDom 1.2 2 0.0001500 0.02 0.1 0.01 0.02 0.04 0.18 0.01 0.03 0.05 0.15 0.02 0.04 0.04 0.1 0 0.03
PowerTwoLoci DomAndDom 1.2 2 0.0002000 0.06 0.13 0.03 0.06 0.06 0.15 0.04 0.04 0.07 0.17 0.05 0.07 0.05 0.13 0.04 0.04
PowerTwoLoci DomAndDom 1.6 2 0.0000000 0.41 0.5 0.26 0.36 0.44 0.52 0.28 0.37 0.45 0.53 0.33 0.42 0.3 0.45 0.2 0.28
PowerTwoLoci DomAndDom 1.6 2 0.0000500 0.22 0.31 0.16 0.21 0.24 0.33 0.16 0.24 0.26 0.36 0.2 0.24 0.2 0.31 0.12 0.14
PowerTwoLoci DomAndDom 1.6 2 0.0001000 0.08 0.13 0.01 0.05 0.09 0.19 0.02 0.07 0.11 0.18 0.05 0.09 0.02 0.08 0.01 0.02
PowerTwoLoci DomAndDom 1.6 2 0.0001500 0.05 0.11 0.02 0.03 0.05 0.17 0.01 0.03 0.04 0.16 0.02 0.04 0.05 0.14 0.02 0.02
PowerTwoLoci DomAndDom 1.6 2 0.0002000 0.07 0.11 0.04 0.05 0.09 0.18 0.04 0.07 0.08 0.16 0.05 0.07 0.05 0.11 0.03 0.04
PowerTwoLoci DomAndDom 2.0 2 0.0000000 0.44 0.54 0.32 0.37 0.42 0.55 0.32 0.4 0.47 0.56 0.37 0.41 0.4 0.48 0.29 0.35
PowerTwoLoci DomAndDom 2.0 2 0.0000500 0.29 0.37 0.19 0.26 0.29 0.41 0.2 0.28 0.32 0.4 0.23 0.31 0.21 0.34 0.16 0.2
PowerTwoLoci DomAndDom 2.0 2 0.0001000 0.07 0.16 0.04 0.05 0.13 0.17 0.05 0.1 0.12 0.2 0.07 0.12 0.07 0.11 0.04 0.05
PowerTwoLoci DomAndDom 2.0 2 0.0001500 0.05 0.13 0.02 0.04 0.09 0.2 0.01 0.03 0.06 0.2 0.01 0.01 0.04 0.08 0 0.01
PowerTwoLoci DomAndDom 2.0 2 0.0002000 0.11 0.15 0.05 0.07 0.1 0.17 0.06 0.1 0.09 0.17 0.06 0.08 0.05 0.09 0.03 0.05
PowerTwoLoci DomAndDom 2.4 2 0.0000000 0.44 0.5 0.32 0.38 0.44 0.52 0.38 0.42 0.48 0.56 0.37 0.45 0.39 0.49 0.33 0.37
PowerTwoLoci DomAndDom 2.4 2 0.0000500 0.31 0.42 0.24 0.3 0.34 0.45 0.24 0.27 0.38 0.46 0.27 0.34 0.26 0.39 0.19 0.23
PowerTwoLoci DomAndDom 2.4 2 0.0001000 0.11 0.17 0.06 0.09 0.12 0.22 0.08 0.11 0.14 0.21 0.1 0.12 0.08 0.14 0.03 0.07
PowerTwoLoci DomAndDom 2.4 2 0.0001500 0.04 0.09 0.01 0.01 0.11 0.26 0.01 0.06 0.07 0.27 0.01 0.05 0.08 0.13 0.01 0.05
PowerTwoLoci DomAndDom 2.4 2 0.0002000 0.07 0.16 0.05 0.06 0.11 0.21 0.07 0.07 0.13 0.2 0.06 0.08 0.08 0.15 0.05 0.06
PowerTwoLoci DomAndDom 2.6 2 0.0000000 0.45 0.53 0.35 0.4 0.47 0.55 0.36 0.42 0.49 0.56 0.39 0.47 0.36 0.49 0.31 0.35
PowerTwoLoci DomAndDom 2.6 2 0.0000500 0.32 0.41 0.25 0.3 0.36 0.45 0.26 0.32 0.41 0.46 0.3 0.37 0.3 0.35 0.19 0.25
PowerTwoLoci DomAndDom 2.6 2 0.0001000 0.09 0.17 0.04 0.09 0.12 0.22 0.08 0.1 0.14 0.21 0.09 0.14 0.1 0.14 0.06 0.07
PowerTwoLoci DomAndDom 2.6 2 0.0001500 0.04 0.11 0.01 0.03 0.1 0.24 0.01 0.07 0.09 0.26 0.04 0.06 0.04 0.1 0.01 0.01
PowerTwoLoci DomAndDom 2.6 2 0.0002000 0.11 0.16 0.06 0.07 0.11 0.23 0.07 0.1 0.12 0.22 0.06 0.08 0.06 0.12 0.04 0.05
PowerTwoLoci RecOrRec 1.2 2 0.0000000 0.31 0.37 0.22 0.25 0.34 0.39 0.26 0.33 0.38 0.41 0.28 0.35 0.28 0.39 0.2 0.25
PowerTwoLoci RecOrRec 1.2 2 0.0000500 0.14 0.23 0.06 0.11 0.13 0.23 0.08 0.12 0.14 0.29 0.1 0.14 0.12 0.2 0.05 0.09
PowerTwoLoci RecOrRec 1.2 2 0.0001000 0.04 0.09 0.01 0.02 0.03 0.12 0.02 0.03 0.06 0.14 0.02 0.04 0.04 0.08 0.02 0.02
PowerTwoLoci RecOrRec 1.2 2 0.0001500 0.03 0.13 0.01 0.02 0.03 0.15 0.01 0.02 0.05 0.13 0.01 0.04 0.02 0.09 0 0.02
PowerTwoLoci RecOrRec 1.2 2 0.0002000 0.06 0.12 0.04 0.06 0.06 0.18 0.04 0.06 0.08 0.16 0.05 0.07 0.05 0.11 0.03 0.05
PowerTwoLoci RecOrRec 1.6 2 0.0000000 0.35 0.43 0.24 0.31 0.38 0.47 0.27 0.35 0.41 0.47 0.31 0.39 0.28 0.4 0.21 0.25
PowerTwoLoci RecOrRec 1.6 2 0.0000500 0.14 0.24 0.11 0.14 0.17 0.3 0.1 0.16 0.24 0.32 0.12 0.18 0.15 0.25 0.07 0.15
PowerTwoLoci RecOrRec 1.6 2 0.0001000 0.04 0.12 0.01 0.03 0.05 0.13 0.02 0.03 0.07 0.17 0.02 0.04 0.01 0.09 0.01 0.01
PowerTwoLoci RecOrRec 1.6 2 0.0001500 0.04 0.1 0.02 0.04 0.07 0.14 0 0.04 0.03 0.15 0.02 0.03 0.03 0.1 0 0.02
PowerTwoLoci RecOrRec 1.6 2 0.0002000 0.08 0.14 0.04 0.06 0.04 0.13 0.04 0.04 0.06 0.18 0.04 0.06 0.05 0.12 0.04 0.05
PowerTwoLoci RecOrRec 2.0 2 0.0000000 0.38 0.47 0.26 0.34 0.43 0.47 0.3 0.38 0.43 0.55 0.32 0.41 0.3 0.43 0.21 0.24
PowerTwoLoci RecOrRec 2.0 2 0.0000500 0.23 0.34 0.13 0.2 0.25 0.35 0.14 0.22 0.27 0.37 0.19 0.24 0.17 0.31 0.11 0.13
PowerTwoLoci RecOrRec 2.0 2 0.0001000 0.04 0.16 0 0.03 0.05 0.14 0.02 0.05 0.11 0.17 0.04 0.07 0.04 0.08 0.01 0.04
PowerTwoLoci RecOrRec 2.0 2 0.0001500 0.03 0.09 0.02 0.03 0.07 0.19 0.02 0.03 0.05 0.17 0.02 0.03 0.06 0.12 0.01 0.03
PowerTwoLoci RecOrRec 2.0 2 0.0002000 0.05 0.12 0.04 0.04 0.05 0.16 0.04 0.05 0.07 0.17 0.04 0.06 0.04 0.07 0.04 0.04
PowerTwoLoci RecOrRec 2.4 2 0.0000000 0.38 0.48 0.28 0.36 0.44 0.53 0.29 0.38 0.46 0.56 0.37 0.42 0.35 0.47 0.26 0.32
PowerTwoLoci RecOrRec 2.4 2 0.0000500 0.27 0.35 0.16 0.26 0.29 0.37 0.2 0.26 0.3 0.39 0.21 0.29 0.24 0.3 0.11 0.18
PowerTwoLoci RecOrRec 2.4 2 0.0001000 0.07 0.18 0 0.07 0.09 0.19 0.06 0.07 0.12 0.2 0.07 0.1 0.04 0.12 0.01 0.02
PowerTwoLoci RecOrRec 2.4 2 0.0001500 0.05 0.11 0.01 0.03 0.06 0.19 0.01 0.03 0.04 0.18 0.02 0.02 0.03 0.1 0.01 0.02
PowerTwoLoci RecOrRec 2.4 2 0.0002000 0.06 0.15 0.04 0.04 0.09 0.17 0.04 0.06 0.11 0.15 0.04 0.09 0.04 0.1 0.02 0.04
PowerTwoLoci RecOrRec 2.6 2 0.0000000 0.41 0.48 0.32 0.38 0.41 0.54 0.31 0.38 0.42 0.57 0.36 0.39 0.38 0.47 0.24 0.34
PowerTwoLoci RecOrRec 2.6 2 0.0000500 0.24 0.36 0.19 0.23 0.28 0.35 0.22 0.25 0.29 0.41 0.23 0.27 0.25 0.35 0.18 0.21
PowerTwoLoci RecOrRec 2.6 2 0.0001000 0.1 0.16 0.02 0.07 0.15 0.21 0.04 0.09 0.12 0.22 0.08 0.11 0.06 0.12 0.02 0.03
PowerTwoLoci RecOrRec 2.6 2 0.0001500 0.07 0.16 0.01 0.04 0.11 0.21 0.02 0.06 0.08 0.19 0.03 0.05 0.03 0.1 0.01 0.03
PowerTwoLoci RecOrRec 2.6 2 0.0002000 0.1 0.13 0.05 0.07 0.11 0.2 0.06 0.08 0.1 0.19 0.06 0.07 0.07 0.12 0.03 0.05
PowerTwoLoci Threshold 1.2 2 0.0000000 0.31 0.37 0.22 0.25 0.34 0.39 0.26 0.33 0.38 0.41 0.28 0.35 0.28 0.39 0.2 0.25
PowerTwoLoci Threshold 1.2 2 0.0000500 0.14 0.23 0.06 0.11 0.13 0.23 0.08 0.12 0.14 0.29 0.1 0.14 0.12 0.2 0.05 0.09
PowerTwoLoci Threshold 1.2 2 0.0001000 0.04 0.09 0.01 0.02 0.03 0.12 0.02 0.03 0.06 0.14 0.02 0.04 0.04 0.08 0.02 0.02
PowerTwoLoci Threshold 1.2 2 0.0001500 0.03 0.13 0.01 0.02 0.03 0.15 0.01 0.02 0.05 0.13 0.01 0.04 0.02 0.09 0 0.02
PowerTwoLoci Threshold 1.2 2 0.0002000 0.06 0.12 0.04 0.06 0.06 0.18 0.04 0.06 0.08 0.16 0.05 0.07 0.05 0.11 0.03 0.05
PowerTwoLoci Threshold 1.6 2 0.0000000 0.35 0.43 0.24 0.31 0.38 0.47 0.27 0.35 0.41 0.47 0.31 0.39 0.28 0.4 0.21 0.25
PowerTwoLoci Threshold 1.6 2 0.0000500 0.14 0.24 0.11 0.14 0.17 0.3 0.1 0.16 0.24 0.32 0.12 0.18 0.15 0.25 0.07 0.15
PowerTwoLoci Threshold 1.6 2 0.0001000 0.04 0.12 0.01 0.03 0.05 0.13 0.02 0.03 0.07 0.17 0.02 0.04 0.01 0.09 0.01 0.01
PowerTwoLoci Threshold 1.6 2 0.0001500 0.04 0.1 0.02 0.04 0.07 0.14 0 0.04 0.03 0.15 0.02 0.03 0.03 0.1 0 0.02
PowerTwoLoci Threshold 1.6 2 0.0002000 0.08 0.14 0.04 0.06 0.04 0.13 0.04 0.04 0.06 0.18 0.04 0.06 0.05 0.12 0.04 0.05
PowerTwoLoci Threshold 2.0 2 0.0000000 0.38 0.47 0.26 0.34 0.43 0.47 0.3 0.38 0.43 0.55 0.32 0.41 0.3 0.43 0.21 0.24
PowerTwoLoci Threshold 2.0 2 0.0000500 0.23 0.34 0.13 0.2 0.25 0.35 0.14 0.22 0.27 0.37 0.19 0.24 0.17 0.31 0.11 0.13
PowerTwoLoci Threshold 2.0 2 0.0001000 0.04 0.16 0 0.03 0.05 0.14 0.02 0.05 0.11 0.17 0.04 0.07 0.04 0.08 0.01 0.04
PowerTwoLoci Threshold 2.0 2 0.0001500 0.03 0.09 0.02 0.03 0.07 0.19 0.02 0.03 0.05 0.17 0.02 0.03 0.06 0.12 0.01 0.03
PowerTwoLoci Threshold 2.0 2 0.0002000 0.05 0.12 0.04 0.04 0.05 0.16 0.04 0.05 0.07 0.17 0.04 0.06 0.04 0.07 0.04 0.04
PowerTwoLoci Threshold 2.4 2 0.0000000 0.38 0.48 0.28 0.36 0.44 0.53 0.29 0.38 0.46 0.56 0.37 0.42 0.35 0.47 0.26 0.32
PowerTwoLoci Threshold 2.4 2 0.0000500 0.27 0.35 0.16 0.26 0.29 0.37 0.2 0.26 0.3 0.39 0.21 0.29 0.24 0.3 0.11 0.18
PowerTwoLoci Threshold 2.4 2 0.0001000 0.07 0.18 0 0.07 0.09 0.19 0.06 0.07 0.12 0.2 0.07 0.1 0.04 0.12 0.01 0.02
PowerTwoLoci Threshold 2.4 2 0.0001500 0.05 0.11 0.01 0.03 0.06 0.19 0.01 0.03 0.04 0.18 0.02 0.02 0.03 0.1 0.01 0.02
PowerTwoLoci Threshold 2.4 2 0.0002000 0.06 0.15 0.04 0.04 0.09 0.17 0.04 0.06 0.11 0.15 0.04 0.09 0.04 0.1 0.02 0.04
PowerTwoLoci Threshold 2.6 2 0.0000000 0.41 0.48 0.32 0.38 0.41 0.54 0.31 0.38 0.42 0.57 0.36 0.39 0.38 0.47 0.24 0.34
PowerTwoLoci Threshold 2.6 2 0.0000500 0.24 0.36 0.19 0.23 0.28 0.35 0.22 0.25 0.29 0.41 0.23 0.27 0.25 0.35 0.18 0.21
PowerTwoLoci Threshold 2.6 2 0.0001000 0.1 0.16 0.02 0.07 0.15 0.21 0.04 0.09 0.12 0.22 0.08 0.11 0.06 0.12 0.02 0.03
PowerTwoLoci Threshold 2.6 2 0.0001500 0.07 0.16 0.01 0.04 0.11 0.21 0.02 0.06 0.08 0.19 0.03 0.05 0.03 0.1 0.01 0.03
PowerTwoLoci Threshold 2.6 2 0.0002000 0.1 0.13 0.05 0.07 0.11 0.2 0.06 0.08 0.1 0.19 0.06 0.07 0.07 0.12 0.03 0.05
PowerTwoLoci Modified 1.2 2 0.0000000 0.31 0.37 0.22 0.25 0.34 0.39 0.26 0.33 0.38 0.41 0.28 0.35 0.28 0.39 0.2 0.25
PowerTwoLoci Modified 1.2 2 0.0000500 0.14 0.23 0.06 0.11 0.13 0.23 0.08 0.12 0.14 0.29 0.1 0.14 0.12 0.2 0.05 0.09
PowerTwoLoci Modified 1.2 2 0.0001000 0.04 0.09 0.01 0.02 0.03 0.12 0.02 0.03 0.06 0.14 0.02 0.04 0.04 0.08 0.02 0.02
PowerTwoLoci Modified 1.2 2 0.0001500 0.03 0.13 0.01 0.02 0.03 0.15 0.01 0.02 0.05 0.13 0.01 0.04 0.02 0.09 0 0.02
PowerTwoLoci Modified 1.2 2 0.0002000 0.06 0.12 0.04 0.06 0.06 0.18 0.04 0.06 0.08 0.16 0.05 0.07 0.05 0.11 0.03 0.05
PowerTwoLoci Modified 1.6 2 0.0000000 0.35 0.43 0.24 0.31 0.38 0.47 0.27 0.35 0.41 0.47 0.31 0.39 0.28 0.4 0.21 0.25
PowerTwoLoci Modified 1.6 2 0.0000500 0.14 0.24 0.11 0.14 0.17 0.3 0.1 0.16 0.24 0.32 0.12 0.18 0.15 0.25 0.07 0.15
PowerTwoLoci Modified 1.6 2 0.0001000 0.04 0.12 0.01 0.03 0.05 0.13 0.02 0.03 0.07 0.17 0.02 0.04 0.01 0.09 0.01 0.01
PowerTwoLoci Modified 1.6 2 0.0001500 0.04 0.1 0.02 0.04 0.07 0.14 0 0.04 0.03 0.15 0.02 0.03 0.03 0.1 0 0.02
PowerTwoLoci Modified 1.6 2 0.0002000 0.08 0.14 0.04 0.06 0.04 0.13 0.04 0.04 0.06 0.18 0.04 0.06 0.05 0.12 0.04 0.05
PowerTwoLoci Modified 2.0 2 0.0000000 0.38 0.47 0.26 0.34 0.43 0.47 0.3 0.38 0.43 0.55 0.32 0.41 0.3 0.43 0.21 0.24
PowerTwoLoci Modified 2.0 2 0.0000500 0.23 0.34 0.13 0.2 0.25 0.35 0.14 0.22 0.27 0.37 0.19 0.24 0.17 0.31 0.11 0.13
PowerTwoLoci Modified 2.0 2 0.0001000 0.04 0.16 0 0.03 0.05 0.14 0.02 0.05 0.11 0.17 0.04 0.07 0.04 0.08 0.01 0.04
PowerTwoLoci Modified 2.0 2 0.0001500 0.03 0.09 0.02 0.03 0.07 0.19 0.02 0.03 0.05 0.17 0.02 0.03 0.06 0.12 0.01 0.03
PowerTwoLoci Modified 2.0 2 0.0002000 0.05 0.12 0.04 0.04 0.05 0.16 0.04 0.05 0.07 0.17 0.04 0.06 0.04 0.07 0.04 0.04
PowerTwoLoci Modified 2.4 2 0.0000000 0.38 0.48 0.28 0.36 0.44 0.53 0.29 0.38 0.46 0.56 0.37 0.42 0.35 0.47 0.26 0.32
PowerTwoLoci Modified 2.4 2 0.0000500 0.27 0.35 0.16 0.26 0.29 0.37 0.2 0.26 0.3 0.39 0.21 0.29 0.24 0.3 0.11 0.18
PowerTwoLoci Modified 2.4 2 0.0001000 0.07 0.18 0 0.07 0.09 0.19 0.06 0.07 0.12 0.2 0.07 0.1 0.04 0.12 0.01 0.02
PowerTwoLoci Modified 2.4 2 0.0001500 0.05 0.11 0.01 0.03 0.06 0.19 0.01 0.03 0.04 0.18 0.02 0.02 0.03 0.1 0.01 0.02
PowerTwoLoci Modified 2.4 2 0.0002000 0.06 0.15 0.04 0.04 0.09 0.17 0.04 0.06 0.11 0.15 0.04 0.09 0.04 0.1 0.02 0.04
